CBTM-361B_AX	CBTM-361B_LA	CBTM-361B_LV	CBTM-361B_RV	CBTM-362C_AX	CBTM-362C_LA	CBTM-362C_LV	CBTM-362C_RA	CBTM-362C_RV	CBTM-362C_SP	CBTM-364B_AX	CBTM-364B_LA	CBTM-364B_LV	CBTM-364B_RA	CBTM-364B_RV	CBTM-364B_SP	CBTM-386C_AX	CBTM-386C_LA	CBTM-386C_LV	CBTM-386C_RA	CBTM-386C_RV	CBTM-386C_SP	CBTM-390C_AX	CBTM-390C_LA	CBTM-390C_LV	CBTM-390C_RA	CBTM-390C_RV	CBTM-390C_SP	CBTM-417C_AX	CBTM-417C_LA	CBTM-417C_LV	CBTM-417C_RA	CBTM-417C_RV	CBTM-417C_SP	CBTM-423C_AX	CBTM-423C_LA	CBTM-423C_LV	CBTM-423C_RA	CBTM-423C_RV	CBTM-423C_SP	CBTM-473C_AX	CBTM-473C_LA	CBTM-473C_LV	CBTM-473C_RA	CBTM-473C_RV	CBTM-473C_SP	H0015_AX	H0015_LV	H0015_RA	H0015_RV	H0015_SP	H0020_AX	H0020_LV	H0020_RA	H0020_RV	H0020_SP	H0025_AX	H0025_LA	H0025_LV	H0025_RA	H0025_RV	H0025_SP	H0026_AX	H0026_LA	H0026_LV	H0026_RA	H0026_RV	H0026_SP	H0035_AX	H0035_LA	H0035_LV	H0035_RA	H0035_RV	H0035_SP	H0037_AX	H0037_LV	H0037_RV	H0037_SP
ACB	2.89042260951877e-10	3.24762562963972e-10	3.16025477988976e-10	6.68511412896252e-10	4.16321109720071e-10	8.7195359296684e-11	1.83545081244089e-10	1.81437410523336e-09	1.05643404914081e-09	2.30308574598418e-10	9.23513918042466e-10	4.80690966430786e-10	9.72258654120462e-11	1.5486463762729e-09	5.3778467512181e-09	1.12376611549024e-09	2.15969934538922e-09	0.00287610530188365	2.13305313517896e-09	2.13346750162849e-09	8.45502701977997e-09	2.53879683971678e-09	3.057405297367e-11	8.0772744938412e-11	6.36656120587066e-10	1.57742159101299e-10	4.78776567946721e-10	5.45534385354962e-10	1.38101178315958e-09	1.25182969605947e-10	6.89541902523570e-10	1.51309068003051e-09	5.89635148542695e-11	1.27851113987145e-09	1.62848999505842e-09	2.87826317753669e-08	1.62554677950908e-09	7.22609635826574e-10	1.29659752545577e-09	3.99423373128764e-10	1.75636963258453e-10	9.98525012932325e-10	1.6806210003738e-10	3.84519707919139e-08	1.25417130484508e-10	6.5930697890081e-11	4.1967648070068e-11	1.55937994935011e-10	5.7295698448443e-10	7.21367719573398e-10	7.77610272314822e-10	7.72248166266726e-11	7.88807574407494e-10	1.07660271355728e-09	4.26167501893897e-10	3.30027668326225e-11	-5.53633940452959e-10	4.24306823479132e-11	-3.30668646960837e-10	1.69249355488164e-11	4.53654138490376e-13	2.73251613473339e-11	5.00466857508351e-10	4.40068367881374e-10	2.62027687613373e-09	4.57928562882709e-10	4.96559045098857e-10	2.79857391997342e-10	2.38551692219536e-09	6.04580736692222e-11	3.90747491294363e-10	5.64398115497492e-08	1.96312809257679e-09	2.27157974468338e-09	1.24967208607603e-09	5.84695138967968e-10	9.13050496617713e-10	7.24134516862149e-10
ASW	4.27722253462607e-10	4.28826286036869e-10	4.5824391378318e-10	9.86202561068952e-10	5.99716686436445e-10	1.15490750126332e-10	2.6729474715802e-10	2.1540753768795e-09	2.43701906723447e-09	3.64423177912045e-10	1.10221613931005e-09	6.03239080110044e-10	1.46343784233225e-10	2.04014025712723e-09	5.19950239291790e-09	1.36459838738803e-09	1.49843770470846e-09	4.81999735639701e-09	1.94578829098914e-09	1.35323522591988e-09	7.49073459296555e-09	2.78887534263964e-09	4.31257006035922e-11	1.02859865792497e-10	8.70407283847881e-10	1.77487878075528e-10	7.27339272990343e-10	6.82556709286566e-10	2.23707598580152e-09	2.25395165577442e-10	1.11890689099416e-09	1.84061007742001e-09	8.19069527458984e-11	2.02760879853184e-09	1.50425023670951e-09	1.03788554552478e-08	1.59737164349164e-09	6.79017032483519e-10	1.29754655939775e-09	4.75758407478607e-10	1.4107873546713e-10	1.11404119811729e-09	1.44341078561076e-10	1.88281058878162e-08	1.25515787620246e-10	6.23303611443928e-11	5.91120430916723e-11	2.11081137773258e-10	6.17482161799964e-10	9.11242458020293e-10	1.04537286020965e-09	1.15981676326161e-10	9.91195880824012e-10	1.25503023602594e-09	5.72170778837358e-10	4.41903908608297e-11	-5.74933000030998e-10	3.83854877966025e-11	-4.23776431856282e-10	2.50389365578955e-11	-5.44046309630467e-11	2.09578562780876e-11	6.51723444759945e-10	4.4186206556502e-10	3.64325043863443e-09	4.77967969659261e-10	3.94075258421108e-10	3.45201043555731e-10	2.60112787990731e-09	6.05092538517051e-11	4.99320785418664e-10	1.91806219570581e-08	2.26123128898219e-09	2.07539356908417e-09	1.13660069122212e-09	5.84370962452426e-10	7.96720435258771e-10	6.60731890719173e-10
ESN	3.49872917629384e-10	3.48065010476994e-10	2.59595940364867e-10	6.01657471345446e-10	5.12915606950609e-10	1.00858320579287e-10	2.54727771876052e-10	2.13777224327713e-09	2.11055491015367e-09	3.12597100037202e-10	6.73430371727398e-10	3.92412128975025e-10	8.96190226132628e-11	1.19821039907141e-09	3.8007903205028e-09	8.70774996260809e-10	1.70871763405209e-09	9.56221127668494e-09	1.52265579104e-09	1.6227732695752e-09	7.01647891164415e-09	2.19295436541561e-09	2.67122152338872e-11	6.22115704944705e-11	4.94935466457928e-10	1.28483010710414e-10	4.22764837520382e-10	4.9618049614319e-10	8.44553092341262e-10	9.05313434213524e-11	4.63503751441159e-10	9.22531243558058e-10	1.65804644265061e-11	7.9263339617631e-10	1.12161000691806e-09	3.74598913064462e-09	9.75418071297137e-10	3.66769826072043e-10	8.14354939738185e-10	2.98322333246559e-10	1.05626758995579e-10	7.21523482185943e-10	1.13096707690174e-10	1.09020830513114e-08	8.8542963732993e-11	4.49631262402933e-11	3.45637481704051e-11	1.35277609893743e-10	4.6405023008736e-10	6.24933258607894e-10	6.90724775786136e-10	9.16030600083206e-11	7.29749775121135e-10	1.06300070414671e-09	5.13034534119792e-10	3.61795933321424e-11	-3.94333438116611e-10	5.78033200074558e-11	-2.58015657000478e-10	2.0806687567224e-11	2.51502725408568e-11	3.46616982226964e-11	5.52332228356921e-10	3.95888695648994e-10	2.36778612362215e-09	3.51921364836612e-10	3.50492865563371e-10	2.72227639989648e-10	1.34858730684478e-09	3.00543625061671e-11	1.80444956971892e-10	8.64898303431601e-09	1.03412060403011e-09	1.06939134225506e-09	1.06980147284037e-09	4.68987009190398e-10	6.25969553473651e-10	6.28600668775185e-10
GWD	3.47841732711555e-10	3.01728504226206e-10	2.45729564980821e-10	5.80784914254379e-10	3.99607101898273e-10	8.48586950449858e-11	1.69851366424558e-10	1.49581748019046e-09	1.00640550238986e-09	2.16074777355611e-10	4.57346814945186e-10	2.1576416118081e-10	7.42651132328551e-11	1.06107328901523e-09	2.18304367754201e-09	7.80325376099702e-10	9.57345412527382e-10	2.23491964654181e-09	1.3534218102155e-09	1.17232191329107e-09	4.98922855176796e-09	1.94928755804377e-09	2.5514697851225e-11	6.7308564591609e-11	4.4591240358857e-10	1.18566836588172e-10	3.86374754909731e-10	4.05078728805973e-10	6.47196059139218e-10	4.92050068419137e-11	3.85489598801643e-10	8.00223536959704e-10	7.17935277390029e-12	6.81295903853087e-10	1.04122542402476e-09	2.37710610378007e-09	9.61534535297004e-10	2.85805013951476e-10	7.04078254751456e-10	2.53893773389548e-10	4.51312697566429e-11	6.12599200226408e-10	7.84071757603509e-11	1.03545014408257e-08	6.68374089938754e-11	3.21229811961425e-11	-2.72519976035028e-11	7.1929928640352e-11	3.17228200198955e-10	7.28027705260883e-10	4.45399140227578e-10	9.74810160870063e-11	7.30572746715648e-10	9.96320821775205e-10	4.53812083687261e-10	3.6979070395942e-11	-3.56341286569815e-10	2.63655634239692e-11	-3.09495893497606e-10	1.83544486578726e-11	-2.1497154343776e-11	3.22616997566338e-11	2.76954533912487e-10	3.22704580341211e-10	1.51628032821575e-09	3.63587038260211e-10	4.26077875270594e-10	1.09617846583413e-10	1.34899700630387e-09	3.53377459786005e-11	1.89941663633758e-10	9.52784691751885e-09	1.08539549517075e-09	1.05135301177535e-09	1.05898091269074e-09	4.7445031161947e-10	6.26047181743498e-10	5.98360925438113e-10
LWK	2.241186082516e-10	1.66397369452724e-10	8.33123342988847e-11	4.5995522232204e-10	3.51846925549267e-10	6.00930902417661e-11	1.55067245210867e-10	1.07054897624751e-09	9.69016510915808e-10	1.53582003394338e-10	7.82640366950139e-10	4.46433645144036e-10	1.14050967541737e-10	1.71662223091868e-09	4.29647959418047e-09	1.27223917369079e-09	5.3949838805251e-10	1.67324395144935e-09	8.98494691882181e-10	7.57072930550825e-10	3.00328054009316e-09	1.41448808187237e-09	2.77167559295138e-11	8.15037013409057e-11	5.38396016002017e-10	1.4542099000119e-10	4.77222491897399e-10	6.22987438987452e-10	1.06876373982312e-09	9.82755999104479e-11	5.80138152377799e-10	1.00834648771861e-09	3.46843676564426e-11	1.03134608784828e-09	1.03241159130531e-09	2.66340231167857e-09	9.23407801629805e-10	3.1873093348234e-10	6.10927667195035e-10	2.93635325350094e-10	1.08079442679505e-10	1.08224687855812e-09	1.43066012745818e-10	3.62801764818563e-08	1.05783851175005e-10	6.38319956072847e-11	5.22008237773083e-11	1.45201225185415e-10	8.19209451351658e-10	5.46095454366481e-10	7.51042484525872e-10	7.01386406835047e-11	6.99307146213248e-10	7.34850688614528e-10	3.89553397111751e-10	2.63342322264427e-11	-4.13294956153037e-10	3.08467360045886e-11	-3.41205005923342e-10	1.43058163513846e-11	-2.6293030242907e-11	1.67719457931975e-11	2.57289157133434e-10	2.62718772422695e-10	1.34429922937041e-09	4.18020277128083e-10	4.72688255929809e-10	1.042948797237e-10	1.52523714203143e-09	3.26651113473123e-11	2.19368350224689e-10	1.19076519923349e-08	1.05015446460535e-09	1.37016163442192e-09	9.33888356427324e-10	4.82807624929139e-10	6.46865233097651e-10	5.93621707008642e-10
MSL	2.38427204333355e-10	2.46076553864788e-10	2.62861911034496e-10	6.11176914531579e-10	3.41454782114348e-10	7.62612256050544e-11	1.68348218372884e-10	1.49665817233224e-09	1.12528539659073e-09	1.90039842710601e-10	5.13402649239644e-10	2.39938991061211e-10	7.46913511031863e-11	1.18904153035012e-09	2.67379551912782e-09	6.94895386162712e-10	1.22226751378791e-09	4.10747676919508e-09	1.40661774150164e-09	1.04518142763258e-09	5.33264380961571e-09	1.98604273631253e-09	3.59311554015574e-11	8.17902854188242e-11	6.63267220730253e-10	1.73373400655358e-10	5.57894259772358e-10	6.56554137711993e-10	7.9115472385506e-10	7.76687250919074e-11	4.34407698119364e-10	9.33468030514346e-10	1.79338033070344e-11	8.45562504935995e-10	1.19161080221235e-09	8.62983182457722e-09	1.23954242431977e-09	6.82792884379106e-10	9.73453769150617e-10	2.97642161672194e-10	4.70912525865426e-11	7.05206483439609e-10	8.62705774818427e-11	8.6249287695534e-09	8.08401645566845e-11	3.92615941259245e-11	2.76039731512158e-11	1.45761430097461e-10	3.9613628610397e-10	6.14181542591689e-10	7.46265651441112e-10	1.41653911519918e-10	7.40946770878153e-10	1.14853852821543e-09	6.27974611825687e-10	4.52547580360908e-11	-4.2114669253308e-10	3.43360894232968e-11	-2.85227738861893e-10	1.50829087364101e-11	7.65238393917385e-12	2.83872399935286e-11	3.06521679648697e-10	3.74418955726057e-10	2.03689755636321e-09	4.43107823850448e-10	4.37563007055521e-10	1.37862396932656e-10	1.61855775822675e-09	3.78069556116664e-11	2.40155133048639e-10	1.19653293452824e-08	1.31581407451376e-09	1.2942968428331e-09	9.88476778673783e-10	4.51447504146504e-10	6.41615669206307e-10	6.05872614061443e-10
YRI	2.40157517887004e-10	2.97070903071099e-10	2.60057737636437e-10	5.74835836728769e-10	3.94168783007885e-10	8.57374944235957e-11	1.85604975946633e-10	1.86549830457659e-09	1.53079254922672e-09	2.40553538305061e-10	7.28097892121599e-10	3.71020056579161e-10	9.4960288219854e-11	1.48152719341652e-09	4.06403012291497e-09	1.00633590329226e-09	1.85421089229811e-09	1.54855963498277e-08	1.70163021285283e-09	1.80078327647626e-09	9.01800167770725e-09	2.21148559894679e-09	2.65830392404028e-11	6.14881806382868e-11	4.91176166493572e-10	1.20476175397182e-10	4.37533412099574e-10	4.93445137697091e-10	8.53426658326781e-10	5.74012745016362e-11	4.68638395021793e-10	8.2685589393952e-10	1.5644975971956e-11	7.9709513979082e-10	1.15676605210848e-09	6.35226296384101e-09	1.11711707476788e-09	4.84997667767557e-10	7.59325512018909e-10	3.22162469542809e-10	6.65559552763868e-11	5.96267243058698e-10	8.73232197099116e-11	6.31338960111586e-09	7.77896373218447e-11	3.71344805284224e-11	2.74202994843577e-11	1.18713583234245e-10	5.13855947137322e-10	6.66910382191833e-10	5.955779211271e-10	6.69672915249519e-11	6.88618425304342e-10	9.27649857305049e-10	4.21064110802276e-10	2.9705312840065e-11	-3.67401682068952e-10	3.5086086039569e-11	-3.36968566235395e-10	2.18290790610095e-11	-5.40768793779992e-11	3.14664664082654e-11	5.57173076131924e-10	3.71793093080501e-10	2.44090334623492e-09	4.1081401624629e-10	3.6777514149507e-10	2.75417409387183e-10	2.09267416162875e-09	4.83639763513597e-11	3.00302815612143e-10	2.09975847699737e-08	1.68320589290712e-09	1.82170008277562e-09	1.08243534932188e-09	5.16368283033564e-10	7.83227896270288e-10	6.09438125870064e-10
CLM	0.0520128698598458	0.0355600909335649	0.0232113186502528	0.0574179924227831	8.77981677843185e-10	3.01833253833398e-10	5.88552027761379e-10	4.51468343630756e-09	2.99673378208569e-09	5.42672557586528e-10	2.96066560423669e-09	4.76949672066544e-09	9.08742168669428e-10	0.000723192252028518	0.0198171878285179	0.00836677569053021	0.00117988885582516	4.15457566294859e-08	0.00729006820521324	0.0232859006707162	7.58482778044542e-06	4.04232553462828e-07	4.22833418053639e-10	3.03922860000926e-09	1.08931306560414e-08	1.65214503759787e-09	6.55624213372113e-09	1.26386241605531e-08	4.70757548220197e-08	0.0333736877523444	0.000330544901746518	0.00679861287075988	5.29152058474465e-10	0.0010407473455604	1.62753954306439e-08	1.7385040281462e-09	0.00894846928277523	8.19187224082642e-09	2.96596746030002e-07	5.53839526816324e-09	3.81316008287445e-10	2.59187774910029e-09	2.90176728295294e-10	6.110706817034e-09	4.08243334227072e-10	9.20650600371128e-11	8.12033153520164e-10	1.44154052875435e-09	0.0385250708986822	0.091407714005553	5.69739281207984e-09	2.75295126287715e-08	0.0211398310552872	1.20479435080597e-07	4.5649064236037e-09	1.18474504203576e-08	5.28600131685166e-11	2.30374339362927e-10	-9.01683483036262e-10	8.24796960725092e-11	-2.50574372033875e-10	3.1532750863795e-11	0.0515621289274436	0.0695450560041254	0.0309863816743367	0.0232823390607809	0.0197597065422715	0.0321567752943793	0.0298600992990107	3.29277339503921e-09	0.00606886432086901	5.27555748301263e-08	0.00788795028562901	0.00326668646063005	4.60174395787382e-09	2.38537384000809e-09	5.12513189698486e-09	3.62599774501286e-09
MXL	3.76562262277419e-08	0.00229659590606867	6.24243074610518e-09	4.53386873054103e-08	6.00095767627024e-10	1.96032863068528e-10	4.60889105175376e-10	2.04353669417736e-09	2.00188922008671e-09	3.73329830123522e-10	0.0161698538113651	0.000246921152852521	0.0211643934306342	0.00337535354260249	0.00214548693538768	0.029510386358884	8.03609778609838e-10	1.40317710603924e-09	1.50268509967393e-09	1.94211824872254e-09	6.54378918156971e-09	3.79464311517517e-09	3.34932129678734e-10	2.62944900488861e-09	8.99576032999845e-09	1.36024336957685e-09	3.69327276365068e-09	1.26811785269602e-08	1.23684750054676e-08	2.29931998862255e-09	8.63884871195033e-09	1.56880961130833e-08	3.26245525956736e-10	1.39908797462899e-08	5.39688941068e-09	1.43594872685657e-09	8.19997457922187e-09	9.50033665543469e-09	5.93457622324624e-09	4.90682446402884e-09	2.08488021971619e-10	1.56848046760176e-09	1.70267985461244e-10	5.62194783339967e-09	1.54144715149691e-10	4.33388373327581e-11	1.30814286113369e-09	1.99075445677377e-09	2.42485308810315e-08	2.12000399982787e-09	7.96989533106952e-09	1.04566426289563e-09	1.42286842372162e-08	5.0021018437238e-09	2.99938769983322e-09	3.59609187192089e-10	1.55751627384943e-09	1.93320470543163e-10	-5.37071863105385e-10	1.86568670614164e-10	2.08218533498693e-11	1.27412926933645e-10	3.97117769732515e-09	1.26587373803979e-09	9.23745102800127e-09	9.41183784147947e-10	7.90534278331983e-08	4.23429871297923e-09	2.69664868779832e-08	3.22314762201274e-10	8.90914743498504e-09	1.04561957555286e-08	1.53135645598734e-08	5.24204115764533e-08	3.31201262471988e-09	1.77815552764487e-09	7.93500386044746e-09	3.05132192763594e-09
PEL	6.88464486472123e-09	9.27629212404553e-09	5.12471823306565e-09	1.34661333248858e-08	5.41427519733603e-10	1.91825694527276e-10	4.29923689434426e-10	2.03020811180985e-09	2.6388719327188e-09	3.20827386062203e-10	1.13039208282733e-09	3.54069837954118e-09	6.76231448490934e-10	1.13359231870644e-08	2.94966245710322e-08	1.91952984422677e-08	4.24135143715556e-10	8.72774095706291e-10	8.0465732243015e-10	1.40405033910673e-09	2.71125498181555e-09	2.22915704407957e-09	0.0317818773403078	0.0137697143568755	0.028996747054348	0.0103178408631567	0.0251499238942359	0.0330299007123356	6.99212905488091e-09	1.33794861582804e-09	3.50775410472925e-09	1.01096913232864e-08	1.98342495849852e-10	1.10456731579011e-08	3.20863228130896e-09	7.45358189223443e-10	3.82037056529768e-09	2.02338617848396e-09	1.36207440135859e-08	2.2198355808831e-09	1.76068529179579e-10	1.38609364954311e-09	1.36211086849611e-10	3.969298263783e-09	1.34375640004976e-10	3.14234376401971e-11	0.0370668646420433	0.039932181302765	0.0268071246195031	0.0399177288258807	0.0320257889791248	0.0152584931816967	0.00753283967919632	0.0345704743446762	0.0290234163740287	0.0279212827626537	9.95404084560218e-10	1.1874950392694e-10	2.43648859309213e-10	9.56852497392169e-11	2.28137469122992e-10	1.34161349313671e-10	7.15773003141457e-09	6.12702022364591e-09	1.2082401140693e-07	0.0360642092503309	0.00300587712549761	0.00397909035754532	0.0241067204768754	0.0521510971501386	0.035817356988155	0.0535896308826576	0.0423822951615841	0.0614490525677952	0.00823894668339648	0.00335878136035109	0.000943047949367654	0.00580219155885221
PUR	7.74795866900969e-09	5.57224339453777e-09	7.82941271175683e-09	7.68489884508949e-08	0.00519672061207123	0.00791365936156265	0.00702590549172256	0.000796603671124182	0.00413857137750189	4.48974081786644e-09	0.00574471011861885	3.53315501766172e-09	2.1010805079405e-09	0.0268802307318112	2.2257229555479e-07	7.69046622567165e-09	0.025316554661145	1.07642071215287e-07	0.0173921851932095	0.00898320455970452	0.00712113103229704	0.028055461266288	3.21890242936279e-10	1.0591712124258e-09	6.13766551242593e-09	1.17151681534491e-09	4.9384054792338e-09	7.16410575193196e-09	1.67177370714103e-08	1.68405595096362e-09	7.8460541067429e-09	1.18705845461429e-08	5.40109164414771e-10	1.32703700416033e-08	9.13152055399593e-09	3.16516612619338e-09	1.61461306526939e-08	2.62320659447749e-09	0.0124997488723758	2.91684610493636e-09	3.74366479914807e-10	1.87877707086107e-09	3.71054804208234e-10	7.87452432005185e-09	2.35265720927013e-10	8.89532558616614e-11	8.90559704648479e-10	2.0163316617863e-09	7.99264371367012e-09	2.45202098708291e-09	8.47769670221401e-09	5.00310157063592e-10	7.27984554442677e-09	8.23278620525298e-09	5.17752172929089e-09	7.85794527984309e-10	-8.11998479488204e-10	1.55140341725528e-10	-7.12133032625694e-10	7.01269728093627e-11	-2.50887430838008e-10	4.72193200702632e-12	2.77115640006382e-09	2.23424746432655e-09	8.24711945861083e-09	3.08333657591974e-09	5.58648391273681e-09	5.03106509445476e-10	0.0438688567600023	4.58366314877569e-09	0.0171373718924828	1.31318526642409e-07	1.20997358412243e-07	0.0357096384757366	0.0103132986240678	0.0261157152495262	0.0176746070789423	0.00462730209662359
CDX	2.06518871384759e-10	5.29472613592339e-10	5.25103341305551e-10	8.87115129294769e-10	5.69394131705202e-10	2.19796977648855e-10	6.28624149474602e-10	2.26364934283651e-09	1.79613781695446e-09	7.99771175802803e-10	3.78496984459418e-10	2.37348121675079e-09	1.66395155681137e-10	1.60382726655034e-09	5.5194891201346e-09	1.19932675982575e-09	1.1272999764479e-10	2.28191053580601e-10	2.79563218762543e-10	2.30652729182229e-10	7.99044203521879e-10	8.6446642529104e-10	3.02620592489134e-11	8.87695453757576e-11	1.38535040407782e-09	1.5929584282661e-10	2.51122093028786e-10	7.67110823356499e-10	6.38452830782351e-10	9.31663664439112e-11	2.0609869846623e-10	1.03012530385849e-09	2.48797173917227e-11	5.77427244998706e-10	3.37597610955109e-09	1.15958610445699e-09	1.64287079214549e-09	8.58230962421974e-10	2.19488244140096e-09	9.12451003234653e-10	2.22823293122192e-10	1.26797867964512e-09	1.35670171197866e-10	4.70783282657384e-09	1.25593698202863e-10	3.16492830159956e-11	1.80016257522362e-10	2.02476020457951e-10	7.50581643459976e-10	1.96114035908218e-10	7.87918339315658e-10	3.78446620204731e-11	1.17552939678283e-09	7.10002123141319e-10	1.50991199923605e-10	2.33343121828275e-11	0.0278195530519063	0.0142750905346893	1.50645560933322e-08	0.000711547119393341	1.51263765793816e-08	0.0212168281785651	2.99932617461654e-10	2.83681560169706e-10	2.03338784456233e-09	2.10513016138087e-10	7.75263928545161e-10	3.87569004808034e-11	6.29481378681643e-10	-3.9110394912428e-12	2.20346426494251e-11	5.30810394185566e-10	3.74222446913179e-10	2.90226677062544e-10	2.67717128070229e-09	8.72299727454073e-10	4.10366858520198e-09	1.56179652903672e-09
