SPECTRUM-OV-002_tumour	SPECTRUM-OV-002	SPECTRUM-OV-003_tumour	SPECTRUM-OV-003	SPECTRUM-OV-004_tumour	SPECTRUM-OV-004	SPECTRUM-OV-007_tumour	SPECTRUM-OV-007	SPECTRUM-OV-008_tumour	SPECTRUM-OV-008	SPECTRUM-OV-009_tumour	SPECTRUM-OV-009	SPECTRUM-OV-014_tumour	SPECTRUM-OV-014	SPECTRUM-OV-022_tumour	SPECTRUM-OV-022	SPECTRUM-OV-024_tumour	SPECTRUM-OV-024	SPECTRUM-OV-025_tumour	SPECTRUM-OV-025	SPECTRUM-OV-026_tumour	SPECTRUM-OV-026	SPECTRUM-OV-031_tumour	SPECTRUM-OV-031	SPECTRUM-OV-036_tumour	SPECTRUM-OV-036	SPECTRUM-OV-037_tumour	SPECTRUM-OV-037	SPECTRUM-OV-041_tumour	SPECTRUM-OV-041	SPECTRUM-OV-042_tumour	SPECTRUM-OV-042	SPECTRUM-OV-045_tumour	SPECTRUM-OV-045	SPECTRUM-OV-049_tumour	SPECTRUM-OV-049	SPECTRUM-OV-050_tumour	SPECTRUM-OV-050	SPECTRUM-OV-051_tumour	SPECTRUM-OV-051	SPECTRUM-OV-052_tumour	SPECTRUM-OV-052	SPECTRUM-OV-053_tumour	SPECTRUM-OV-053	SPECTRUM-OV-054_tumour	SPECTRUM-OV-054	SPECTRUM-OV-065_tumour	SPECTRUM-OV-065	SPECTRUM-OV-067_tumour	SPECTRUM-OV-067	SPECTRUM-OV-068_tumour	SPECTRUM-OV-068	SPECTRUM-OV-070_tumour	SPECTRUM-OV-070	SPECTRUM-OV-075_tumour	SPECTRUM-OV-075	SPECTRUM-OV-077_tumour	SPECTRUM-OV-077	SPECTRUM-OV-080_tumour	SPECTRUM-OV-080	SPECTRUM-OV-081_tumour	SPECTRUM-OV-081	SPECTRUM-OV-082_tumour	SPECTRUM-OV-082	SPECTRUM-OV-083_tumour	SPECTRUM-OV-083	SPECTRUM-OV-105_tumour	SPECTRUM-OV-105	SPECTRUM-OV-107_tumour	SPECTRUM-OV-107	SPECTRUM-OV-110_tumour	SPECTRUM-OV-110	SPECTRUM-OV-112_tumour	SPECTRUM-OV-112	SPECTRUM-OV-115_tumour	SPECTRUM-OV-115	SPECTRUM-OV-116_tumour	SPECTRUM-OV-116	SPECTRUM-OV-118_tumour	SPECTRUM-OV-118
ACB	7.51193594237038e-09	1.07421619534717e-07	6.44589209614761e-10	6.47457210593126e-10	5.50745721381559e-11	1.05652000284737e-09	2.50641188098506e-10	1.55438817197769e-09	0.0518364981366828	0.0478066735751914	1.09828481106338e-10	4.58447599716438e-10	8.1910190188259e-10	8.5854398646589e-10	5.21081596960202e-09	1.88659638579934e-10	0.0208067067891772	0.01590924807718	7.57858374777398e-10	2.9107614575479e-10	1.32697388071309e-09	2.29622799250437e-09	0.260877618591066	0.258453799561336	2.50921652160414e-10	2.30051381132679e-09	0.0111131443080607	0.0197666024430342	9.56483286388423e-11	0.000258820348836396	6.11927590360638e-10	2.92681209810978e-11	7.04671755973211e-11	3.34609565444561e-10	1.58366602106916e-09	2.65678532826295e-10	1.04367355800991e-10	1.57027947457366e-10	0.0115426706117191	0.0140982256572195	1.90144499373549e-10	1.71722228395195e-11	3.83942546396454e-09	9.9886982898223e-10	3.12182104096717e-10	2.55668622049364e-10	5.29873301415191e-10	3.69316836701604e-10	4.62225734221646e-10	1.03750924382554e-10	9.52548153504948e-09	3.17681240899862e-09	2.23969997699861e-10	1.33415744332686e-10	0.168807187112591	2.08147986237547e-10	8.2552288320611e-09	6.38299998060232e-10	1.59068270658378e-10	5.60630694611729e-09	0.0503064094374583	0.0371452668657554	1.98282370741939e-10	4.77926596735664e-10	2.83088061305792e-09	5.12549389204570e-09	9.04435120952372e-10	1.10124279782676e-09	2.82640178893815e-10	1.21356943326448e-10	0.00120366066766322	0.00301515822251787	1.31164008601604e-09	7.01706378138619e-09	1.54830192407654e-09	3.33188460081575e-09	0.0137377732599915	2.03551426903507e-10	-1.96542718889647e-11	-3.70251807427425e-11
ASW	2.51417658297629e-10	6.48422474254297e-10	4.0411964974537e-10	4.14261894919381e-10	7.21437174851075e-11	1.35420278893292e-09	2.55767374098993e-10	1.60010798317686e-09	0.0946481172295904	0.0955343644281239	1.3148118215626e-10	5.02860036605268e-10	1.26738902857482e-09	1.33505296401539e-09	3.63166395353078e-09	2.29431661089766e-10	0.00204755409783082	1.18287334999442e-09	8.27047801315866e-10	3.0307643544696e-10	1.09871719012048e-09	1.53141878200614e-09	0.0142724821423794	0.016899893024238	6.26465963302464e-10	7.0907048930223e-09	3.87122662002028e-09	1.08042792365754e-09	7.91479858774586e-11	9.6535352336485e-10	7.7061933106495e-10	6.8747392595204e-11	9.87286259299311e-11	4.58768250807558e-10	2.58917566530542e-09	6.9743019280596e-10	1.12823316269712e-10	1.70432157357773e-10	3.997002568642e-09	8.27762711060392e-10	1.87835813309223e-10	1.80833165604514e-11	3.52039389142425e-09	8.93845304125797e-10	0.000845987608803512	0.00146764237158544	1.55361594888789e-09	1.09971324581622e-09	7.1847188309739e-10	1.43414131486773e-10	3.24123803701087e-09	9.63592872429855e-10	1.41729635131626e-10	1.58531629252483e-10	0.113350694156944	0.000775485598391471	6.11148651242264e-09	4.29105735402383e-10	1.14502234517649e-10	2.19578283565857e-09	0.107556071453445	0.100776774571175	1.7334965763663e-10	2.59215769585168e-10	5.36807563465355e-09	9.28233388065061e-09	0.0135785382912482	0.0163499181864272	4.45839366984766e-10	1.64940895764031e-10	3.05029503532699e-10	2.03607698624765e-09	1.27221356905789e-09	3.16131484630298e-09	6.85457340704076e-10	8.96247533990277e-10	0.0946386344136041	0.00675808731693356	-2.34928948573914e-11	-4.48093775960618e-11
ESN	3.65416414365536e-10	8.51846850012693e-10	5.59120639968582e-10	5.72148679685199e-10	4.06415063238739e-11	6.91523063327533e-10	3.08844331460976e-10	1.73391978905432e-09	0.0535274364404542	0.0528898732086208	9.10237195043573e-11	4.06494621036018e-10	4.67368809051118e-10	5.11160541634304e-10	0.0102617318156215	0.0156016668568078	0.0104159884719717	0.00365408448057989	6.61521505977145e-10	2.48629841813294e-10	8.44506712232059e-10	1.57697931558966e-09	0.0207469700722951	0.0210710738575976	6.0656395129729e-10	4.48771650108107e-09	6.66960917893508e-08	8.34863509776579e-09	4.54783673623532e-11	1.16391618398864e-09	7.65525054111512e-10	5.77028868416303e-11	5.51033511803494e-11	2.58494109829368e-10	2.06038612245075e-09	4.99477274936118e-10	8.01820804396078e-11	1.18491499435009e-10	9.78950994054474e-09	5.58135146123975e-09	9.31605760483094e-11	2.02542800250265e-12	0.0050428267602619	0.00603081766037444	4.50708823420472e-10	3.81044616213326e-10	8.26777458816138e-10	5.70587230746064e-10	4.63070205391137e-10	1.03126974579207e-10	2.73964494769382e-09	8.04337950480468e-10	2.52191843443302e-10	1.27819036964515e-10	0.0535087861903925	8.99223371399372e-10	4.01760497669138e-09	2.56231287806393e-10	1.17359053074494e-10	3.01397001694137e-09	0.103839679607215	0.103516636806542	1.87740961742844e-10	6.69343433605887e-10	1.44642494060363e-09	2.43631522469105e-09	6.07101557608178e-10	6.7919785553183e-10	3.06569028934785e-10	1.1699614034723e-10	8.81673625524214e-10	6.1928994497535e-09	1.36621922291344e-09	6.10940408912049e-09	1.42160146960619e-09	2.77221588758477e-09	9.38280544757044e-09	2.10657220567404e-10	-1.64097389940463e-11	-2.77231054758257e-11
GWD	0.0128001344191094	0.0169849178467345	4.29885402236327e-09	4.98075356835878e-09	3.31054435091085e-11	4.77758087528688e-10	0.0101987745672995	0.0126512804316636	0.0502200844696089	0.0508154364018578	8.7795322546771e-11	3.77642272998737e-10	5.70041779580679e-10	6.02533541270566e-10	5.87616698057892e-09	6.31826238586726e-10	2.48508505346551e-08	7.18354305374405e-10	6.09997345763415e-10	2.25520932777801e-10	1.57054954025627e-09	4.78762970976672e-09	0.0807468303408222	0.0785432982296285	0.00755071243315979	0.00714148808788732	3.55816476142554e-08	1.73318131313385e-08	7.4023862477028e-11	3.4305289641138e-09	8.32636123711439e-10	5.14648148749957e-11	6.37413803663827e-11	3.06727858810847e-10	3.19222788386578e-08	9.52846041603273e-09	8.72152540452583e-11	1.38489460517393e-10	1.74917371803754e-09	3.74687749312188e-10	6.21058657230925e-11	1.32440650940143e-12	1.61870907574081e-09	4.16884160658764e-10	5.0345328892257e-10	4.24945541228472e-10	0.00220419812148677	0.00399385828828783	3.92601590997236e-10	8.73416788573282e-11	1.20325970406655e-08	4.77134977689957e-09	2.50943117332239e-10	1.52477825522419e-10	0.0369569441675815	3.35392695100557e-10	1.26801101954268e-08	1.2012569870169e-09	9.12563851335115e-11	1.72437722636251e-09	0.263065930482949	0.249021879698661	2.53287103187234e-10	0.00638599645749473	5.07449700544513e-09	8.64696118187541e-09	7.75794896657144e-10	8.53194030911054e-10	3.94856106534318e-10	1.55413405353679e-10	2.23391620727853e-10	1.47120440374399e-09	1.33259386028191e-09	6.0112926160188e-09	5.77242342890094e-10	7.27143882508068e-10	3.93847709116019e-09	1.17823799795835e-10	-1.68430193056522e-11	-2.66268813211593e-11
LWK	2.7269851512897e-10	7.45468723157276e-10	5.23101911686144e-10	5.49339721356104e-10	4.69030617771966e-11	8.35994072545588e-10	2.95598124365769e-10	3.25877332851562e-09	1.48998575451613e-08	0.00123133273028592	8.60529571042658e-11	3.38359742688874e-10	4.20704798890501e-10	4.4646102243349e-10	2.14763467258255e-09	1.81018065233073e-10	0.00178239549856003	0.00228114747866223	1.10670972501979e-09	3.89553818381302e-10	3.67472341697136e-09	0.0080434914412823	0.120433940835022	0.12216134271786	0.00756398713290447	0.00943542755995636	3.97983197123654e-09	1.08706462710652e-09	5.41777506861984e-11	1.08580107676032e-09	8.08326188241499e-10	6.48343483560937e-11	4.12545502024336e-11	2.0337030617043e-10	0.00197692594810867	0.0110269991051729	8.71613120537617e-11	1.16181047772798e-10	3.36061074509328e-09	7.33587053236416e-10	1.34150949912382e-10	6.64048086351877e-12	8.97314492998445e-10	2.07367232550754e-10	1.71875245538815e-09	1.35122820957864e-09	5.10604563090674e-10	3.65136743221473e-10	4.43125091806097e-10	9.91519698995659e-11	0.0246357997083366	0.026410645999565	4.858033053327e-10	3.17087308894606e-10	0.0503923822045424	0.0227829098668062	1.26565608461542e-08	1.16840382453793e-09	1.29212534603419e-10	3.34475331069672e-09	0.106509605777292	0.110876212701183	2.35978744510804e-10	3.08237646635535e-09	1.02014186497611e-09	1.932183819176e-09	1.22839459925794e-09	1.36555124429406e-09	4.17679164382848e-10	1.91855899609686e-10	2.36334231167533e-10	1.62781743912139e-09	3.07847335824577e-09	0.0072153097456034	1.41247463927443e-09	2.58353194000869e-09	7.84995516760604e-09	2.87640577197969e-10	-1.78163146297494e-11	-3.17596162316049e-11
MSL	5.74196263963568e-10	1.49370678473176e-09	0.0130076304670741	0.0143424805602336	2.99668380483767e-11	4.12952689277378e-10	1.71890235641162e-10	2.0408826293744e-09	0.0154156972458371	0.0167435067716726	1.00050989707357e-10	4.25376006858917e-10	7.68622900770407e-10	7.06257723021937e-10	2.76481825210971e-09	2.7332469063526e-10	3.26535335456219e-09	1.90791047061655e-10	7.48223899960276e-10	3.24556557413508e-10	1.00902745158207e-09	1.92216386467581e-09	0.0339536831300427	0.0326256410549827	3.84633530736755e-10	3.74109353804686e-09	2.24061966741269e-09	4.36521585237342e-10	5.42991637087387e-11	1.92734204177109e-09	9.07642686839597e-10	6.31475547650855e-11	4.81002010400531e-11	2.26586484051921e-10	6.59534218426974e-09	0.000354159153152466	9.36558521515898e-11	1.44383512667375e-10	1.65101566972164e-09	3.11709851006585e-10	8.26479161897894e-11	2.23518457593692e-12	2.24427497519689e-09	6.17480589887821e-10	3.35981840925718e-10	2.82903570931828e-10	4.72841256693169e-09	4.0770902571236e-09	4.24258026502077e-10	9.64421465949376e-11	3.71289742055164e-09	1.15121746047376e-09	2.34820232571201e-10	1.36350408894866e-10	0.00837067343162814	5.54332300862023e-10	0.00660357454942787	0.00820682856511078	8.30133551556971e-11	1.45806649850556e-09	0.137231280827939	0.137582681853364	1.88801493855734e-10	7.25975652536685e-10	0.00334824558119378	0.00569767795116803	1.7687728566158e-09	2.13900357344637e-09	3.11671598246002e-10	1.22637534384791e-10	1.55443051304582e-10	9.96530057019892e-10	5.95684028434535e-10	7.74840347701841e-10	4.27556083924764e-10	4.93129644388415e-10	3.72767916646636e-09	1.33238463562025e-10	-1.59080202844717e-11	-2.15296039763316e-11
YRI	3.2805104692064e-10	8.00068961774776e-10	3.6790023909583e-10	3.76817472819474e-10	3.50037371846355e-11	4.81958783632738e-10	3.12022492245337e-10	1.75197937596356e-09	0.0693886572144592	0.0711415967718083	1.00348638355758e-10	4.36968989552315e-10	6.50012353075571e-10	7.11896820927081e-10	3.34924526477104e-09	1.97474865787248e-10	6.23207590012581e-09	3.08398140663697e-10	7.15859066703865e-10	2.66796769491704e-10	9.46165643867593e-10	1.7334136826973e-09	0.0891631116344342	0.0891361096058094	3.95593443502629e-10	3.03225234515269e-09	2.76999942855028e-09	1.96200890613851e-09	6.25613614257282e-11	3.85070341061104e-09	6.21970929053302e-10	4.16232354293611e-11	5.70212051146705e-11	2.69791320083807e-10	7.06730379426928e-09	4.87462274072316e-09	1.2131848920591e-10	1.52492565953983e-10	5.05388291160038e-09	1.44789765707295e-09	1.03639616365333e-10	6.00493981637675e-12	3.00323279465665e-09	7.69189086983438e-10	3.71600623839183e-10	3.12181179455935e-10	5.17608182142296e-10	3.58443924288212e-10	4.04069409821866e-10	8.6770897525564e-11	8.01491957944817e-09	2.53452280847138e-09	2.88045645531205e-10	1.65510878451837e-10	2.74060580686472e-09	1.50022494055223e-10	7.98185604577163e-09	6.83263200277005e-10	1.50903061551821e-10	5.72110561024866e-09	0.160756627050062	0.174520262351362	1.81152490014274e-10	5.64707635034048e-10	1.83747822477971e-09	3.09868274776877e-09	9.40666999192626e-10	1.10732861649548e-09	2.84380971164774e-10	1.14525302071188e-10	1.98475696418538e-10	1.27794711099602e-09	1.09805288557625e-09	1.7954026632924e-09	9.38193129878538e-10	1.33114810837631e-09	6.47481456217928e-09	1.95656911454888e-10	-1.65324954551022e-11	-2.88559914824351e-11
CLM	2.46051980027144e-10	7.8531275217641e-10	8.85036410422682e-11	1.15246843053572e-10	0.00525663399682443	0.0184778671481355	1.77768243245477e-10	2.59289878173744e-09	0.0975113733151469	0.0941297662051885	5.35894770314465e-10	1.27123805589729e-09	2.6662491397166e-08	1.02941490331084e-08	0.00421218670186254	3.38846684238375e-05	0.0232387505599732	0.0414833730397659	9.87406387958222e-09	3.52395670489836e-09	6.13286182744613e-09	4.24575198068214e-09	0.00692503790337231	0.00206743445094154	0.0078989342267923	0.0124209045216344	7.76284843132497e-09	0.0161081403929441	3.48172979632836e-10	4.57469489184625e-10	0.016223379444889	1.09743728871896e-08	7.14469482949436e-10	2.69856920743752e-09	0.0597833986065377	0.0533936548293825	1.15812971803034e-09	2.10080918168888e-09	1.47755393849305e-09	3.78245416424643e-10	1.74970635118995e-09	2.53051626683183e-10	5.83082742729394e-10	1.29249795010627e-10	0.0225863603284553	0.0225547156324039	1.03110231936727e-09	7.14987780401357e-10	1.28329896883579e-09	2.87503328867496e-10	0.0274897067717898	0.0293276152400095	0.00559114255149985	0.0213780388621547	1.48427497227929e-09	0.0114823901632611	3.34715198275326e-09	2.51208721477278e-10	2.42079598119231e-10	2.78189760505133e-09	3.35212568782885e-09	4.17982781025195e-09	0.0173583601410973	0.0280403290872258	6.83889767217375e-10	1.47595783247919e-09	0.000457165534225029	0.000286183377349441	0.00690375915533977	0.0268100645305489	3.26752253541364e-10	2.47860214133973e-09	0.00597367456892666	2.57380080967629e-08	3.48536084895009e-10	6.10775768368934e-10	3.66731259444883e-09	0.0273389408154757	-4.31858729308881e-11	-3.59568557832168e-11
MXL	6.04893282910817e-11	1.98200993740738e-10	7.35952761261055e-11	1.06611669758934e-10	2.78415399716819e-10	5.33926893444218e-09	7.03068354661341e-11	9.49616340337069e-10	0.0817076785574617	0.0828732510567994	1.12482698535359e-09	2.7284075961097e-08	0.0160052663715205	0.0183775411884148	9.97349402581132e-10	6.06000156589246e-11	1.26079297019026e-09	1.3144769798786e-10	4.4836664183826e-09	9.23160745140884e-10	9.69528620413988e-10	9.95543070817946e-10	4.30265931825812e-10	1.86478998550613e-09	3.51257317525862e-11	3.54210309515353e-10	1.2729395516368e-08	0.00557676845069142	1.77992755672804e-10	1.33150036661354e-10	1.20576254146242e-05	0.00203657527776734	6.42301098670476e-08	3.87725135234726e-08	1.59258615112111e-09	3.68328591530417e-10	0.00124389157516064	0.00599644262743912	7.43996801297658e-10	1.32432291773239e-10	0.035654828067196	0.027738105379968	5.10040879194124e-10	1.13134754465484e-10	4.34526961206328e-10	3.99226125655967e-10	1.21433295748058e-09	7.80234518111227e-10	1.23335799190033e-09	2.32077192068513e-10	2.2546875964226e-09	7.00339700129343e-10	1.35115257854608e-09	7.07023364636468e-10	0.000899125745347829	8.45120124203953e-11	1.0665003050793e-09	8.15121775386124e-11	1.02372100240648e-10	1.04112736540554e-09	1.46497259368516e-09	2.81437076673648e-09	2.25781818884333e-10	1.26977689065579e-10	2.59740790331137e-10	5.69699018593159e-10	6.0827879933487e-10	7.9907635801441e-10	1.32665857766108e-09	3.52350580218548e-10	1.66822048631795e-10	1.28064878693714e-09	3.53740423974394e-10	2.26951577911342e-10	0.00903738115122629	0.010820863375948	4.85538643471738e-10	4.23128882134241e-11	-2.03563109191422e-11	7.44790874183069e-11
PEL	4.32277016803297e-11	1.48952196461963e-10	-2.01460042624643e-11	-4.73040623514892e-12	1.08696433495501e-10	1.71988735790555e-09	2.41684906168071e-11	3.82533874389628e-10	2.05322850389742e-10	3.34615885733903e-10	5.52090827016333e-10	0.0019092296957719	6.00067269129589e-10	5.77868629280908e-10	4.28325939609451e-10	2.46616292690511e-11	2.87308407216287e-10	3.03888899148595e-11	1.07505773871793e-09	3.36866853536771e-10	3.80354427918848e-10	2.63171415075683e-10	4.72821842193597e-10	1.98316258106707e-09	1.87218452291198e-11	3.36894693676255e-10	2.17270987360978e-10	5.77990978794516e-11	1.17244283252714e-10	9.08210976897416e-11	2.79458853303061e-05	2.30305285022181e-09	0.00687981326642286	0.00575008800568093	5.36021567620732e-10	9.10324502073054e-11	2.13560463585652e-08	8.86832954252818e-09	2.35258876729481e-10	4.89379379557417e-11	3.44871124907417e-09	2.34437545058696e-10	1.92057047203684e-10	4.38762937283095e-11	3.43932580196034e-10	3.20312984718273e-10	1.44459412624577e-10	9.60893129104766e-11	5.32707187600419e-10	1.19700723887368e-10	5.645776408545e-10	1.6491941706874e-10	1.93336789565089e-08	1.90073225832597e-08	0.0129950229145551	2.71901768006147e-11	2.3719603805616e-10	1.78021734241006e-11	6.8134946981293e-11	5.88224535952562e-10	3.32911267316248e-08	0.0066471370626807	2.34314319350104e-10	1.15607536652688e-10	1.27956098302624e-10	2.85749257386402e-10	2.01859173424574e-10	2.51557825688482e-10	3.36283487360104e-09	5.91579524684902e-10	5.80530527202423e-11	4.41861006007386e-10	1.24358296582498e-10	5.18478317237262e-11	2.28068204894283e-08	3.64335891398612e-09	1.64463600373172e-10	1.86732880040534e-11	-1.05024441590614e-12	2.43827607201036e-10
PUR	0.0535700909126856	0.0545310383098738	0.0382942434657988	0.0393572250342158	7.9264668400875e-10	2.55740858144721e-08	0.0437767221224915	0.0531256083064114	0.0387852043419817	0.0423033016511295	4.16372133058671e-10	1.00671325348607e-09	0.0175686942665977	0.0253382380905457	0.00090915938270259	0.0119934071623399	7.11844154618842e-09	1.00732211726824e-09	0.110155269507262	0.138665446055982	0.0496667170113568	0.0443188519460606	8.78270607074113e-10	3.52638608418993e-09	0.0317025973809836	0.0317198651374558	0.00921721763787626	0.00363979663588405	8.58079417601405e-10	3.00394023598298e-09	4.33375270406897e-08	9.99030212986701e-10	2.08096231618239e-09	0.000101939041600392	6.81551402128877e-09	5.07798398223867e-09	2.48054323049913e-09	8.61193134817227e-09	0.0549869561854165	0.0767484723610086	8.76030457324048e-10	1.38522506567531e-10	5.31500019662236e-10	1.12329439279963e-10	1.67492550883642e-08	1.2651383168843e-08	0.0605512968800987	0.0640434054403734	5.61782469330807e-09	1.53988668127066e-09	0.0507874141229645	0.0512959690866317	1.42155169345626e-09	9.43741959624555e-10	3.75847120989028e-10	0.0583026710963974	0.0804923933755433	0.0764676446863925	0.0587874246186155	0.0713596744367896	4.20783060869334e-09	5.69672775441801e-09	0.0202729880920639	0.0313031754734453	0.067992374107286	0.0708565925468009	0.0528910630402209	0.0567504841712117	0.0265554698198859	0.0306842509700624	1.51261645422315e-09	1.61784494392202e-08	0.0605658462631229	0.0697758093420491	1.23542846115275e-09	1.68689757032306e-09	4.20145202614507e-09	0.00731267763670138	-4.04318793127198e-11	-7.14966670682477e-11
CDX	9.82339072555773e-11	4.13757658604219e-10	-6.58150944921378e-14	1.93659765243643e-11	5.7580982670894e-11	1.43512828143061e-09	6.95667403008307e-12	2.00666566510588e-10	2.72806284152683e-09	2.81828291556528e-09	0.0248006089468775	0.000481020530009456	5.52911145883885e-10	3.81806420599654e-10	2.40245644731214e-10	1.05388363224306e-11	3.18676567369883e-10	5.07041318906649e-11	3.35232721773048e-10	7.61660912914320e-11	1.12415378573011e-10	5.95363397616047e-11	5.36745951844372e-10	1.44524309833358e-09	4.9439139100304e-11	6.50330146758029e-10	4.33427309907621e-10	1.15476951603948e-10	1.15917484330152e-10	8.19786326199957e-11	7.19245297723434e-09	2.39182541939262e-10	0.00467814961208072	0.00256857734155464	1.8782883710809e-09	2.57154748369245e-10	3.03512758153528e-10	4.96896030055054e-10	6.02012620687056e-09	1.5819714450608e-09	4.05529442583195e-10	4.9137211610743e-11	4.29817514728471e-10	9.61436008216655e-11	4.81792238770158e-11	3.66978753600051e-11	1.63955805138464e-09	2.02838173826876e-09	1.93401303299918e-10	7.53946210885944e-11	6.00777017713044e-10	1.90133623447035e-10	7.97191133010889e-10	4.10072474030219e-10	0.0429953072515362	5.77460509455911e-11	7.99438138956477e-10	7.33399591938728e-11	6.64869729756865e-11	6.11731198040984e-10	1.2149719506013e-09	1.86334404092816e-07	3.6208775196407e-10	2.04565902316298e-10	1.31332679012964e-10	3.19841068895112e-10	2.12644973929293e-10	3.17290981760495e-10	1.53176129673218e-09	1.95185837466946e-10	2.79168192994747e-11	1.26683739659018e-10	2.81131706944065e-10	2.01941431051225e-10	1.16552305545866e-09	6.86925429984401e-10	2.13913172149463e-10	1.68629342351296e-11	7.31016089434583e-11	2.97584977260068e-10
