SPECTRUM-OV-002_tumour	SPECTRUM-OV-002	SPECTRUM-OV-003_tumour	SPECTRUM-OV-003	SPECTRUM-OV-004_tumour	SPECTRUM-OV-004	SPECTRUM-OV-007_tumour	SPECTRUM-OV-007	SPECTRUM-OV-008_tumour	SPECTRUM-OV-008	SPECTRUM-OV-009_tumour	SPECTRUM-OV-009	SPECTRUM-OV-014_tumour	SPECTRUM-OV-014	SPECTRUM-OV-022_tumour	SPECTRUM-OV-022	SPECTRUM-OV-024_tumour	SPECTRUM-OV-024	SPECTRUM-OV-025_tumour	SPECTRUM-OV-025	SPECTRUM-OV-026_tumour	SPECTRUM-OV-026	SPECTRUM-OV-031_tumour	SPECTRUM-OV-031	SPECTRUM-OV-036_tumour	SPECTRUM-OV-036	SPECTRUM-OV-037_tumour	SPECTRUM-OV-037	SPECTRUM-OV-041_tumour	SPECTRUM-OV-041	SPECTRUM-OV-042_tumour	SPECTRUM-OV-042	SPECTRUM-OV-045_tumour	SPECTRUM-OV-045	SPECTRUM-OV-049_tumour	SPECTRUM-OV-049	SPECTRUM-OV-050_tumour	SPECTRUM-OV-050	SPECTRUM-OV-051_tumour	SPECTRUM-OV-051	SPECTRUM-OV-052_tumour	SPECTRUM-OV-052	SPECTRUM-OV-053_tumour	SPECTRUM-OV-053	SPECTRUM-OV-054_tumour	SPECTRUM-OV-054	SPECTRUM-OV-065_tumour	SPECTRUM-OV-065	SPECTRUM-OV-067_tumour	SPECTRUM-OV-067	SPECTRUM-OV-068_tumour	SPECTRUM-OV-068	SPECTRUM-OV-070_tumour	SPECTRUM-OV-070	SPECTRUM-OV-075_tumour	SPECTRUM-OV-075	SPECTRUM-OV-077_tumour	SPECTRUM-OV-077	SPECTRUM-OV-080_tumour	SPECTRUM-OV-080	SPECTRUM-OV-081_tumour	SPECTRUM-OV-081	SPECTRUM-OV-082_tumour	SPECTRUM-OV-082	SPECTRUM-OV-083_tumour	SPECTRUM-OV-083	SPECTRUM-OV-105_tumour	SPECTRUM-OV-105	SPECTRUM-OV-107_tumour	SPECTRUM-OV-107	SPECTRUM-OV-110_tumour	SPECTRUM-OV-110	SPECTRUM-OV-112_tumour	SPECTRUM-OV-112	SPECTRUM-OV-115_tumour	SPECTRUM-OV-115	SPECTRUM-OV-116_tumour	SPECTRUM-OV-116	SPECTRUM-OV-118_tumour	SPECTRUM-OV-118
CHB	8.24297341142008e-11	3.28171307662081e-10	1.61976124314858e-11	3.85350269935726e-11	5.16760746085717e-11	9.19508536061661e-10	6.50046367721843e-11	3.21210223783105e-10	8.73214087019563e-10	1.28691802817651e-09	0.228517591523566	0.191806933425347	3.16316697772782e-10	2.25892276227427e-10	2.77556792022903e-10	1.40420942033051e-11	3.46468822631202e-10	4.91408525985888e-11	3.14456301972325e-10	9.17267086102981e-11	1.06885466509383e-10	6.51229269370915e-11	3.6035522426978e-10	9.86964527567334e-10	9.45213620378414e-11	1.48336518481043e-09	8.35273430500539e-10	2.51082017602204e-10	5.82609333890634e-11	3.86758515567036e-11	5.98638330217150e-09	2.7705046790526e-10	0.0219872644895321	0.0172054992862201	1.64364347495032e-09	3.53668125016543e-10	2.80293718244223e-10	4.52367835749322e-10	3.07289061677953e-09	6.84962348015406e-10	2.66814717158305e-10	4.5238621860178e-11	4.17383659275146e-10	9.6540558036384e-11	7.25765266733978e-11	5.12025848711242e-11	1.66203084053301e-09	1.52783145543313e-09	2.72109047034068e-10	1.23756425400131e-10	4.89297432639124e-10	1.53021709169625e-10	4.83288313552958e-10	2.68504140374597e-10	1.10036499195548e-10	6.16967536645169e-11	5.47062836227462e-10	5.16303503400377e-11	5.4605735659303e-11	4.97787130504256e-10	1.78443990718368e-09	0.00465602858632736	2.9392695034371e-10	1.65068499670231e-10	8.96981987569677e-11	1.97894902155488e-10	1.96768551926326e-10	2.87325971974695e-10	7.65782146775465e-10	8.94077901239666e-11	2.64634663401722e-11	1.18213827987025e-10	1.22377831841556e-10	8.48108918265855e-11	0.570121057221383	0.566396117771546	1.66045269297268e-10	1.34471055409073e-11	0.335207606538358	0.329232880430432
CHS	7.45783583021623e-11	2.77566732614153e-10	-4.87607265408432e-13	1.82492999155193e-11	3.44896626003607e-11	2.49854465648332e-10	6.86533824856903e-12	2.24614166244855e-10	2.6497419831833e-10	4.03580521521152e-10	0.0389095717201001	0.0797830196262933	3.23693369991566e-10	2.47368425258974e-10	2.44111193379497e-10	1.17047227988441e-11	3.73153670245777e-10	5.70982075274078e-11	2.78017168710356e-10	6.40180182641186e-11	1.08118908817954e-10	5.7880724205853e-11	4.17291604882402e-10	1.15394699476522e-09	7.7329102583133e-11	1.15963185845078e-09	5.54006878699693e-10	1.55482060649839e-10	8.88384371478124e-11	6.52014354657701e-11	1.34639641925096e-08	3.91977043470045e-10	0.0326369030412139	0.0402968314374129	1.22819525211492e-09	2.29827047562342e-10	2.83456076121773e-10	4.60510956347776e-10	6.03921188582952e-09	1.22896767309991e-09	3.10265025099677e-10	4.7504497408992e-11	5.31265080208387e-10	1.21550497185627e-10	9.63425263855644e-11	5.98487573294843e-11	1.35160441469634e-09	1.29174918154931e-09	2.45064797013606e-10	1.08317572486363e-10	4.84452312161242e-10	1.532536112177e-10	8.12406523266349e-10	4.84618785591576e-10	3.62099954413813e-10	5.73887629275237e-11	5.5820880833451e-10	5.24845815844865e-11	4.44351698606147e-11	3.58965156987535e-10	1.18343119155763e-09	1.13696272540214e-08	3.11658634224569e-10	1.76722160250726e-10	7.79536353727389e-11	1.75239300804139e-10	2.56158884503938e-10	3.91132150493316e-10	1.0520718183945e-09	1.38335813633204e-10	2.43479081743538e-11	1.04834553931561e-10	1.41260043113344e-10	8.77842820921851e-11	0.273982168855469	0.275639803343883	1.83085988120686e-10	1.42616732346464e-11	0.17314800393962	0.181340849134595
JPT	7.89537503673477e-11	2.94054081224368e-10	-4.27090119143122e-11	-2.91636650159429e-11	7.71310210058658e-11	1.80239264487194e-09	8.06395829279237e-12	2.22580031800905e-10	1.12665132022788e-10	1.85781622745021e-10	0.68182181793142	0.688293634662659	2.16193587322006e-10	1.55603567070057e-10	4.62198986217027e-10	2.08617082043287e-11	3.15395946460209e-10	4.72429827194153e-11	8.03422367462783e-10	3.45087863208142e-10	1.13514137884265e-10	5.91482735464369e-11	5.71151411024794e-10	1.46371018646254e-09	2.18465076377395e-10	5.54426017935025e-09	0.00111576938322537	0.000207030449861824	5.0791287139151e-11	4.28714418639377e-11	3.88745301536145e-09	1.97281510404187e-10	0.00452898073691006	0.00190672328096266	1.06259962054733e-09	2.15564883708452e-10	3.07047020107021e-10	4.93783547009094e-10	3.00202421084883e-09	7.05813389426709e-10	2.11414127066438e-10	3.52447731665304e-11	3.91258329957547e-10	9.05495519494358e-11	7.08965670691787e-11	4.90456314665165e-11	1.0289955482532e-09	7.90075711150939e-10	2.32869779189937e-10	9.36560088859775e-11	5.47814839710982e-10	1.673566958613e-10	8.16742244259743e-10	4.55125709564352e-10	5.7466345262368e-11	3.61732705787437e-11	6.64164642160546e-10	6.0259506230907e-11	5.24641765413284e-11	4.88497324366457e-10	6.68996334192377e-10	2.43125946269546e-09	4.98915171354104e-10	2.00054770842696e-10	6.83213249785232e-11	1.58834266342886e-10	1.78218511439085e-10	2.63697952225228e-10	4.09166744242042e-10	1.56094929475751e-10	3.02379725684383e-11	1.39752675841787e-10	1.67652337742142e-10	1.28994098866126e-10	0.146859331530659	0.147143179114927	1.3504347839003e-10	1.22482142906031e-11	0.491644389676869	0.489426268505475
KHV	8.36363453476485e-11	3.21339395199446e-10	3.87935480613022e-11	6.19490311051255e-11	5.2328940449724e-11	9.44227236585484e-10	3.75454914964821e-11	2.96098013982806e-10	0.000418568003354025	0.00255418583493461	0.00182643114321098	0.0153712903161206	3.77379237796486e-10	3.0956192970225e-10	3.35119964811631e-10	1.77834352214152e-11	4.64428817149139e-10	8.59166391411617e-11	3.21099655631786e-10	9.11107043178817e-11	9.60869803392223e-11	4.54913270236801e-11	3.82939685368162e-10	1.06591347228109e-09	5.3212512542522e-11	6.39499199612581e-10	3.78531458373285e-10	1.12971133454185e-10	1.36067598172868e-10	1.20455423334663e-10	1.10699866623659e-08	4.26566795523633e-10	3.26048295499115e-09	7.79121245240749e-09	1.63468762316892e-09	2.59741017406366e-10	3.33221193731877e-10	5.51892421756578e-10	0.00459594666045998	0.0030151201553431	2.84384100988153e-10	4.36650820976485e-11	2.85060289765175e-10	6.8109591178679e-11	4.3713129799988e-11	3.33211130033492e-11	2.5298862211769e-09	4.50056997229525e-09	1.96576733537406e-10	7.50613017698643e-11	1.02843798743026e-09	2.83915540460762e-10	5.98353578937007e-10	2.47266283134215e-10	3.73735455581308e-10	1.68964699195998e-10	6.86032811745657e-10	6.2532274144681e-11	5.10414850919499e-11	4.38501353799581e-10	8.25937954484105e-10	5.96809153379579e-09	0.00301589355488924	0.00885530172320869	7.5594681563062e-11	1.72332736909285e-10	3.57724151134732e-10	5.94767918880535e-10	8.18781511935065e-10	1.44383962153986e-10	3.69736308136045e-11	1.73493501188415e-10	2.32547181345291e-10	1.75339040410375e-10	2.18732801109137e-08	6.1609363279593e-09	2.0755911450088e-10	1.53484053818791e-11	1.08288349411015e-10	2.51514105951582e-10
CEU	0.025250328526742	0.0352860031872939	2.63681208262091e-09	2.54686992259899e-09	0.313449109977566	0.309490205126175	2.22292445397794e-10	2.95287749836366e-09	0.225259513218804	0.210882469454867	9.18139998973612e-10	1.30937199311046e-09	0.173061469220253	0.165673680292812	1.55588408732828e-08	7.17376443381532e-10	0.104743646761267	0.0505973578539148	0.119028589354024	0.0826757530502084	0.0792493371494739	0.0556353229133782	2.31835871430431e-08	1.29794650123368e-06	0.15337044970583	0.153991380069404	0.0241610889857094	0.0362818140646149	0.303242630720009	0.297719067740302	0.282275448703861	0.271552237655089	0.209345579078981	0.226266171753708	5.85849741633351e-09	5.85078889340422e-10	0.337326140779774	0.327527956485794	0.00313362364691581	2.12956052004949e-08	0.521708291809909	0.486609385193417	2.72770239689846e-09	6.32440846054417e-10	0.332173206389103	0.330858903425679	0.00153547278687338	0.00101362685026747	0.156179394882258	0.152907184030824	1.08656357371297e-08	2.96935109781885e-09	0.1040405199118	0.069343110739201	0.196501233507841	0.0650399927651309	1.38568821037092e-08	6.07856538451272e-10	0.0235096331149997	0.0157483206753344	0.0169517248000702	0.0316891769832994	9.16054771839306e-10	4.70218707758892e-10	0.024188882446066	0.0267762426667863	0.122296425847942	0.117199664120108	0.285800511435736	0.270250671336958	0.18519718385861	0.186236841949546	0.0598813033912675	0.045366088503847	8.39099947899497e-10	1.04864944373343e-09	0.0223838290460246	0.0118293335195589	-1.43500303732048e-11	3.84105051122348e-11
FIN	1.3965474509476e-10	4.14713769397113e-10	2.65574846488467e-10	2.65039827143099e-10	0.0599322831770763	0.0599055437461467	7.91697411624918e-11	1.03290694659826e-09	0.0183019445266304	0.0184850981526185	9.84662167139181e-10	8.34846053814457e-10	1.10882128323022e-08	1.82202855729399e-09	2.579379854556e-09	1.35216407226376e-10	1.71300215444755e-09	1.19003630054198e-10	4.97409058029143e-09	2.24414699105626e-09	1.32125542039081e-09	1.40358292873888e-09	0.0249967869006991	0.0247426157665464	3.21583437101595e-10	4.11850243156317e-09	2.32286641203966e-09	4.33623484671463e-09	0.15296686139981	0.178853730264629	8.15200380091915e-08	0.0245510603071079	0.0690997567369641	0.0707381519630923	3.00819818012037e-09	6.18124972290621e-10	0.0961763245128532	0.0919828884909372	2.91825490749586e-09	6.32574363603986e-10	0.0306413805291407	0.0235181898307742	5.43935234658207e-10	1.08694479719851e-10	0.0593768857913792	0.059199769394157	1.16315325629881e-09	7.62880706531232e-10	0.130988790483504	0.128758468817798	1.85665334535736e-09	5.36153074345323e-10	0.109136455376363	0.108837096847386	0.03727947279042	3.35627336989926e-10	4.20431718148477e-09	2.5469425179209e-10	1.05462270483855e-10	8.37356703250564e-10	2.20515365665924e-09	1.10019955177019e-08	3.07188944232307e-10	1.5429660368835e-10	7.00107877563528e-10	1.4652271349184e-09	9.55890634084438e-09	7.28845593730403e-09	1.69760186484791e-08	2.90499558196791e-09	0.118848767647509	0.118991779157166	1.96930067444156e-09	1.2769480007097e-09	2.42615503142966e-09	2.80209911950224e-09	0.0351521983431899	0.0650034680973914	-2.03118756262444e-11	3.16174831468551e-11
GBR	8.31159650242212e-10	2.09277397199228e-09	1.46836772033233e-08	1.3200474884295e-08	0.078691499688081	0.0585443787243671	2.65095834147215e-10	3.6256639451347e-09	0.102503282662401	0.109880771869721	8.53704112341823e-10	1.1840561411843e-09	1.62453085494247e-08	3.23611164509215e-08	6.73943080627742e-09	3.66420331360949e-10	0.0272803710009768	0.0473434812443874	1.93998952076637e-08	0.0100284616317147	5.76793646391371e-09	4.41260349471965e-09	0.0888677565406516	0.091470261768441	1.11557675234146e-09	1.02666574802397e-08	4.32354469039443e-09	2.16196766144451e-09	0.0805245351327477	0.0596277816409	0.415385409865557	0.372906240731584	0.408096542781683	0.382478763630647	0.0754459022946073	0.0770739435436785	0.282398108548154	0.28392365191275	1.05614009196247e-08	1.12634174169417e-09	0.366860276054889	0.389651239384135	0.00739453151132227	0.00832283973937003	0.237512160442021	0.239251098338416	7.33481994236614e-09	5.59741339651818e-09	0.496528949984565	0.494798049178449	9.93291583516862e-09	2.80055068579421e-09	0.435504639904353	0.48495606784625	0.114488047836969	0.0346839895350582	1.50085140218426e-07	3.14723617309777e-09	1.10150228602358e-09	8.50227616990319e-09	0.0537825726770102	0.0357606605181321	0.0221970546076264	0.00479032830199948	3.98940815159576e-08	2.05106753356805e-07	2.66067486746797e-09	2.86065833809164e-09	0.206292668485837	0.201339068995266	0.125475577483231	0.124559837837592	2.50135521696719e-09	1.43606921508346e-09	8.1353831600574e-10	1.02867366726655e-09	0.339229883870384	0.294516303900774	-1.87096802594618e-11	4.25760110413132e-12
IBS	0.20848055643623	0.201992504948092	0.318171241939982	0.31943020841888	0.179067772107387	0.186035038209455	0.0732806774481501	0.0786161593867515	0.0962163312794111	0.0987571568779418	6.19318370232743e-10	9.29482638391877e-10	0.241917760860904	0.211756490013711	0.248400698877916	0.253763041569002	0.201824816527922	0.197987633583151	0.222591322480571	0.236698155410108	0.203918665452354	0.202709969015041	0.123489718266744	0.127655568541745	0.200140365865683	0.208277064722254	0.266859864247173	0.262383070654858	0.183243128332672	0.149269546414288	0.268735478132169	0.262983024288086	0.154077929028057	0.162387291302417	0.29199539750625	0.289106943173468	0.105197706437581	0.0974784487869902	0.157878422147209	0.172258300767767	0.0298312561076666	0.0518860343820065	1.12875653987493e-07	6.28166306832716e-08	0.191535987121462	0.191123638217103	0.320783591169205	0.312717455718116	0.138690971913868	0.137055118239171	0.180658422113182	0.180364251324204	0.130453277122803	0.110503780004213	0.0380177569774364	0.192995726524436	0.299393424448226	0.298809532200435	0.17081501617682	0.160578361105776	1.14516719721298e-08	1.7232786155644e-08	0.303633806561423	0.292457581958388	0.159140926901453	0.160236408061257	0.181774293346898	0.189531393519763	0.211596992137265	0.18359529610846	0.188014231497061	0.189419104296847	0.185937038263667	0.206395610783196	4.38425527917945e-10	7.18626857934261e-10	0.166348434602431	0.206737059087041	-2.12276536030053e-11	-1.22311327456721e-11
TSI	0.655850021921528	0.639940530213738	0.60354884751745	0.598149820429317	0.357057664626482	0.352637777544701	0.660831154341017	0.642136078601201	4.12811785572338e-09	7.42229534718263e-09	1.12037671678626e-09	1.65693025509668e-09	0.501834358334055	0.535377451510453	0.693716265228428	0.660755335589771	0.536874509458307	0.561433878066165	0.459076542884319	0.445785494837144	0.637338257858003	0.649594593554885	0.135526031725197	0.135171635345381	0.496954815878385	0.480684707711878	0.608004850117216	0.571399935118564	0.280022840362558	0.314271035812675	0.00823193963882476	0.0523686158530111	0.0752950442644185	0.0752336930933496	0.491148962424866	0.4808532095753	0.158442107299358	0.173080987753443	0.707467476437538	0.668102876895799	1.12334702556867e-09	2.63849205059937e-10	2.07298943427281e-06	4.64017429732325e-08	0.112252932769765	0.111550601995778	0.532319289808417	0.535433822172648	0.0601602553752287	0.0666533940062883	0.660502013693831	0.654155512265892	0.210696626154298	0.183138734987311	0.063376787733428	0.540268770137914	0.575553750141861	0.57810867579852	0.675384990822359	0.673147338694879	2.9776191197977e-08	0.00644534004810797	0.54030007918955	0.530451763407723	0.702585845557661	0.690856917289123	0.533501278290392	0.523572596680325	0.230264035859823	0.250395760290013	0.324952600433675	0.319854882611112	0.569188530139569	0.542853551212926	3.96138107062152e-10	6.9644565046844e-10	0.283781119103554	0.323825502116915	-1.78075606909942e-11	1.42996065807048e-11
BEB	3.58818021302369e-10	1.08540665197088e-09	2.59805578761329e-10	2.98670565814336e-10	3.07628041391956e-10	3.19338268567497e-09	1.60983853975755e-10	1.66436770429221e-09	3.19224373027878e-10	4.42404728816192e-10	0.0227485712264129	0.02235482485598	8.7701495614551e-09	3.5921778519559e-09	1.36414384457481e-09	7.46631142336592e-11	3.11906848781621e-09	3.94589699483957e-10	5.24585267408132e-09	9.30552835219548e-10	1.36636017092245e-09	1.15775630000743e-09	1.338526324183e-09	3.73916764995097e-09	2.03053116031932e-10	2.3669846005879e-09	2.49214356697037e-09	4.12359384922843e-10	3.26230583054133e-10	4.03534855456512e-10	1.21457290758445e-08	7.51598828934519e-10	2.35362864401712e-09	5.61574322389601e-09	4.99665259327371e-09	1.1871083364213e-09	6.03237235073266e-10	8.31099929634908e-10	2.24104282810688e-09	4.79000635454154e-10	3.54961918447935e-09	2.17059767828641e-10	0.0425110710634297	0.0441185299707447	6.88997581519482e-10	6.83502519124725e-10	1.93918778296172e-08	0.00151629401225567	1.20290062820296e-09	3.55549946926153e-10	4.88804875324994e-09	1.46184122004603e-09	2.56026632247639e-09	1.42052760630562e-09	2.81144444574789e-10	1.04243089751154e-10	4.08486161024594e-09	2.66553932302292e-10	1.82140198320127e-10	1.55551041841998e-09	1.11234797163718e-09	3.97206844888654e-09	1.40381108067618e-09	1.99439249688998e-09	6.68101874830873e-10	1.38799401168558e-09	9.3920043929724e-10	1.22483439246341e-09	4.32807277141659e-09	7.26239056297691e-10	3.82630433421343e-10	2.50325894583279e-09	1.25371157232439e-08	6.81549641033633e-09	1.36091448302409e-10	6.44156193037002e-10	2.93179352008841e-09	4.319041077262e-10	2.88101172400758e-11	6.6531943573376e-10
GIH	0.043415947101164	0.0346767561895854	9.58035487543864e-10	1.06347193768373e-09	0.00654502683751979	0.00253805290230768	0.0325975244672032	0.0413126935078536	6.13462566406518e-10	8.84231728233684e-10	1.48085557617324e-09	1.13314410244231e-09	2.92880405046596e-09	4.43377269610516e-09	2.5082972867095e-08	4.97930915356462e-10	3.49170722562852e-08	1.13595341051558e-09	0.01278744549526	0.0223698188679624	0.0211644358040762	0.0250796984523277	7.22393177203984e-10	2.54346102404259e-09	3.82973359594642e-10	3.92078210786334e-09	0.0589559567179773	0.0448706443613215	4.97523174902783e-10	3.59801233380205e-10	0.00910814222129231	0.0136022273805555	2.14282130440812e-07	0.000250186193268449	4.42356556909113e-09	1.57017287283373e-09	8.69476015599842e-10	1.73991493682657e-09	3.84388033142176e-09	8.08814640420937e-10	0.0153039291566411	0.0205970422239963	0.131780825326198	0.132091551891507	0.0122752630712679	0.0131197087603545	0.0538574519898146	0.0555950082326252	1.37872116811696e-09	3.80286752355205e-10	6.57953337104912e-09	1.84284285539239e-09	4.67208034388361e-09	2.06877614252949e-09	0.0620605714010741	0.0211698346530868	2.74150044564785e-09	1.56166879591616e-10	0.0216414401473602	0.020873380727622	8.83725502120112e-10	2.85452496747273e-09	0.0436263946062149	0.0484991245709455	0.00899572473757329	0.0103722777063519	0.0365841045219321	0.0376325010091476	0.0287381292240072	0.00650857810503808	0.0550672276999403	0.05193582487731	0.00820922890787321	0.0237536744033696	1.33050321894104e-09	2.07317412541064e-09	0.0295219075413259	0.0148611541499908	-2.10489467143214e-12	2.36441972546404e-10
ITU	0.00063290294135149	0.0165881230887418	8.25983357221345e-10	9.64044077549119e-10	2.86527383125352e-10	2.64849406024381e-09	0.0299247051455019	0.0342331713224894	2.45400399645386e-08	7.46382613893743e-08	0.00137539458601252	4.52711098373173e-09	6.495929785273e-09	4.21734848900036e-09	1.81977127147274e-09	8.31236981778298e-11	7.84252192009813e-09	6.68941159540571e-10	0.0659677989424667	0.0637768515349426	0.0086624744850992	1.15350299856918e-08	6.67771012196176e-10	2.14979240231792e-09	1.92415746429227e-09	0.00180035820158548	5.26160945392764e-09	2.65753912104946e-08	2.71769929682319e-10	2.19909135056988e-10	4.45242298000672e-09	4.46915438661106e-10	0.0133737478441428	0.0148160221559327	2.09526977687819e-08	0.00811603268228216	8.72690711092907e-10	1.68772015475691e-09	0.0223839523647338	0.0214513332958083	2.00219889689127e-09	2.28511240678339e-10	0.318731968358466	0.318165421827511	5.2751369295917e-10	4.55309970243519e-10	0.0123202312424463	0.00947463097921601	1.36507431899894e-09	3.83483795803305e-10	7.7091845357198e-09	2.16660463062674e-09	0.00457729524523567	0.0218431385505542	2.25866180828714e-10	0.0524982249725512	8.33776971440066e-09	4.82081376335505e-10	1.20036419806875e-09	1.08245553654083e-08	8.62146894325774e-10	2.42797670044552e-09	1.69098709601425e-09	0.00266519194169973	3.35409404781299e-09	6.2861640454136e-09	1.34451581817045e-09	1.83526258479807e-09	7.15043326823419e-09	2.24111431621465e-09	8.61487641645788e-09	9.75760501909076e-08	2.61809538103227e-09	4.0556687433645e-09	4.21620672714885e-10	1.06043472525894e-09	1.89496279189879e-08	0.00866596805317781	-5.90205739735779e-12	1.98989907564686e-10
PJL	5.85501578059099e-09	6.66930364115026e-09	0.0269780087726007	0.0287202377549746	6.94393905178977e-09	0.0123710848974531	0.149390436521742	0.137924958400731	2.24473788736052e-09	1.6165450018356e-09	1.30455405108203e-09	1.01199931705626e-09	0.0496123341522744	0.0434765100532286	0.0424998771764633	0.0578526603514411	0.0564182981002066	0.0517971576455194	0.0103929495046553	4.38990463302181e-09	3.76979794972814e-08	0.0146180262072436	1.25264787259653e-09	3.99810658304421e-09	0.0419034321222326	0.0394297586422999	0.0205719543109419	0.0397661323025517	3.64799913157634e-10	2.01280438076265e-10	7.40610371318114e-09	8.11268485274484e-10	8.87338477564106e-10	2.23042633359508e-09	0.062989108162493	0.068916590012013	0.019215690729078	0.020009595624683	0.038010874042515	0.0443256231846071	8.61433469786565e-09	1.42362145990901e-09	0.144299930580914	0.140513438624285	0.0314411931568688	0.0308739036249149	0.016428415664311	0.0162118692363444	0.0174516191451685	0.0198277809263988	0.034130234945668	0.0364861167032077	2.49870142133763e-09	1.71667991584659e-09	2.365719964726e-10	1.29949943837605e-09	0.0379565797008501	0.038407307048573	0.0498614906968728	0.0582928698353634	2.87123550924053e-09	0.00136168353895723	0.0495954145454633	0.0465511966683337	0.0337479350371947	0.0352036318028303	0.0589171078671115	0.0586772349344858	0.00384838945270743	0.0304162995559474	6.84172210311967e-09	0.00276683081421707	0.110244344642757	0.104639889255028	3.43781189607633e-10	9.52173450039414e-10	0.0152061302596463	0.0238160487675359	-1.00789857226165e-11	1.43077589434678e-10
STU	4.84215890978662e-10	1.23110462362188e-09	1.26426198747542e-09	1.60450511962453e-09	2.8494307602594e-10	2.56550897943357e-09	2.66800760402181e-09	2.3640763979322e-08	0.00425956242845166	0.00397112497637303	2.29288336487950e-09	1.78508773822713e-09	3.72582048474132e-08	2.50509046211428e-08	1.70998550126433e-09	6.51201860093606e-11	0.0145668703093692	0.0275126323531383	2.9295882440845e-08	3.56193398898777e-09	4.76262839592189e-08	8.3261734798234e-09	6.87483092956396e-10	2.20473983274944e-09	0.0529146984955184	0.0550989938605061	1.84149946165557e-09	7.00331538940107e-10	2.02781287525245e-10	1.48017663311833e-10	2.69405211925366e-09	3.12377730767303e-10	8.738034181156e-10	2.32484101077535e-09	0.0166601976005643	0.0111584412466398	5.7922056499004e-10	1.05623094106367e-09	1.21503015401514e-08	9.30303385175719e-09	1.45763228607911e-08	5.87014809256405e-10	0.350236638268	0.350757285547883	5.55644418005975e-10	4.93607587886121e-10	5.1978818252084e-09	4.1447555345011e-09	1.15726704079209e-09	3.26267037501899e-10	0.0217963215753556	0.0219598623819345	6.51030133571735e-09	3.23265578439538e-09	3.30067794436133e-10	3.06714992937449e-10	3.48863328538877e-08	1.75836561630188e-09	3.02396158478454e-10	2.94951755277124e-09	7.38479083303808e-10	2.12850765173115e-09	1.05998858455323e-09	1.02759436034146e-09	1.92352228120753e-09	3.850527724335e-09	5.17944701595451e-10	6.39031400421708e-10	4.25436150602753e-09	1.57954734098808e-09	0.00124073066022302	0.00321960551102406	2.71883254290114e-09	1.62148126960356e-09	-1.00668768294861e-10	5.10894776420382e-10	2.68558560923388e-08	0.00933545482579537	-2.34600091257308e-13	1.36485635367779e-10
