adipose_omentum_SM-ADYHB	adipose_omentum_SM-CHZRM	adipose_omentum_SM-CSSD4	adipose_omentum_SM-IOBHJ	adrenal_gland_SM-A8WNO	artery_aorta_SM-C1MLC	artery_aorta_SM-C1PX3	artery_aorta_SM-CR89M	artery_aorta_SM-JF1NU	artery_tibial_SM-CHLWW	artery_tibial_SM-IOBHK	colon_sigmoid_SM-AZPYO	colon_sigmoid_SM-JF1O8	colon_transverse_SM-A9HOW	colon_transverse_SM-A9VP4	colon_transverse_SM-ACCQ1	colon_transverse_SM-BZ2ZS	colon_transverse_SM-CSSDA	esophagus_ge_junction_SM-IOERG	esophagus_mucosa_SM-A9HOR	esophagus_mucosa_SM-A9VPA	esophagus_mucosa_SM-AZPYJ	esophagus_muscularis_SM-A8CPH	esophagus_muscularis_SM-CSSCV	esophagus_muscularis_SM-IOBHM	esophagus_muscularis_SM-IQYD1	heart_atrial_appendage_SM-IOBHN	heart_atrial_appendage_SM-JF1NX	heart_lv_SM-IOBHO	heart_lv_SM-JF1NY	liver_SM-A8WNZ	lung_SM-A62E9	lung_SM-A8WNH	lung_SM-ACCPU	lung_SM-JF1NZ	mammary_tissue_SM-IOBHL	mammary_tissue_SM-JF1NV	muscle_SM-ADA6L	muscle_SM-C1MKW	muscle_SM-C1PWV	muscle_SM-IOBHP	nerve_tibial_SM-CHLWU	nerve_tibial_SM-CP2V6	nerve_tibial_SM-IOBHQ	ovary_SM-IOBHR	pancreas_SM-ADRUQ	pancreas_SM-IOBHS	pancreas_SM-JF1NS	pancreas_SM-JF1O6	skin_SM-IOBHT	skin_SM-JF1O1	skin_sun_exposed_SM-ADYHK	skin_sun_exposed_SM-IOBHU	skin_sun_exposed_SM-IQYCP	skin_sun_exposed_SM-JF1NT	small_intestine_SM-A62GO	small_intestine_SM-ADA5F	stomach_SM-CHLWL	stomach_SM-IOBHV	stomach_SM-JF1NP	stomach_SM-JF1O3	thyroid_SM-C1MKY	thyroid_SM-IOBHW	thyroid_SM-JF1O4	uterus_SM-IOBHX	vagina_SM-A9HOS
ACB	1.06540703690994e-10	8.67318121235016e-10	2.2466713788666e-10	5.40668605475445e-10	-8.73615761355345e-11	1.9953251715961e-10	4.11470018261158e-09	1.99808634023335e-11	2.74974435085972e-10	8.23969967900034e-10	9.3663340524236e-10	4.54245115215433e-11	2.08084396616633e-09	7.8787958623339e-10	1.09831712963352e-09	-6.39284964454555e-11	2.84219363166923e-10	5.35841320623977e-11	4.24535226694679e-10	7.90450054147543e-11	5.70316352733933e-11	2.30432290101415e-11	1.74577090954943e-09	1.73714997060209e-10	1.75961693605526e-10	4.00302132209064e-11	1.3831723156505e-10	1.06933784602789e-10	1.37529130542353e-09	4.95326785421395e-10	8.61840332845113e-10	6.33970311717885e-10	8.36287475468669e-10	1.73248719927748e-09	1.63241706743777e-10	1.31028599845622e-11	6.35885263807748e-10	2.60795822428054e-10	1.87579297003817e-10	5.07292715238513e-10	1.39530109832921e-10	1.22008705755151e-10	6.95941172709042e-10	1.26694743839758e-11	2.39111476622238e-10	2.35233010248875e-10	1.65260676969681e-09	6.73445729774068e-11	4.26059654936205e-10	2.28396506390472e-10	6.79211265003459e-10	4.03155666614842e-10	1.05571562255894e-10	3.49060755471631e-11	8.98102940076961e-10	2.31630235026267e-11	1.7541557397041e-11	3.97939061212973e-10	1.1522145073273e-09	-1.9912976895387e-10	6.5394648236835e-10	2.57485065636604e-11	2.98916130791501e-10	5.66026152333175e-11	3.0155906653224e-10	5.60182966363809e-11
ASW	1.61508629371819e-10	1.3648343563166e-09	2.55985864417663e-10	7.99843652347205e-10	-1.02897926914071e-10	2.15785197600543e-10	7.77810361995806e-09	8.46502008993455e-11	5.16290891510025e-10	2.04953948425133e-09	1.33986544466465e-09	5.59292427997647e-11	3.35648941684662e-09	9.15761299668064e-10	1.68469076264458e-09	-2.3519786065202e-11	3.5344927765626e-10	9.1983098010893e-11	4.8800568121047e-10	1.13443221062083e-10	1.70033222660453e-10	5.78711151121375e-11	2.48025568935266e-09	2.59790569243588e-10	1.52518575933616e-10	1.53541314607912e-10	1.85905427330723e-10	1.66732757115044e-10	1.56741738545393e-09	5.90199581286568e-10	8.6037175724686e-10	9.38475316819183e-10	1.09803237675096e-09	2.34502614599262e-09	2.9503546676432e-10	3.37076126334314e-11	1.24361949488206e-09	3.2464026982611e-10	3.04921360950295e-10	6.31169587708877e-10	1.84974366281818e-10	1.74547908719467e-10	1.4608679733893e-09	1.55855947565326e-11	2.94469150688921e-10	3.830914712428e-10	2.02907733614348e-09	1.5907248800611e-10	4.2813571069665e-10	2.15961637153933e-10	9.7596894516796e-10	7.53253148772082e-10	1.12085116685089e-10	4.87587364248756e-11	1.4710324892751e-09	1.0236391474811e-10	1.2373965395418e-10	1.05776214416907e-09	1.51219363142378e-09	-3.01267110941318e-10	7.91659158134509e-10	4.75075260347258e-11	4.28576018710022e-10	1.10491033798928e-10	3.93618493383476e-10	4.80701397064411e-11
ESN	1.25499789537433e-10	9.57445352452339e-10	1.84107146934639e-10	6.79350786788189e-10	-8.54678777683938e-11	1.88248037474593e-10	4.25120238356527e-09	3.85204073584967e-11	3.15298846904886e-10	1.01428016283274e-09	1.112177316733e-09	5.54953643459147e-11	1.66654938443718e-09	8.24761186936191e-10	1.23002291753534e-09	-4.48824574590182e-11	3.15801526379476e-10	5.82056168168926e-11	5.41180981711838e-10	1.150892504166e-10	4.95945049498005e-11	2.6880023041457e-11	1.26212418622221e-09	1.87553124994944e-10	2.15685325987237e-10	5.0306764769145e-11	7.61383732806381e-10	1.24440714841986e-10	1.44590649839151e-09	3.86001954808774e-10	9.81650187055123e-10	5.94458063018394e-10	9.00308218477574e-10	1.55989759812366e-09	2.11255747755865e-10	2.44884543965305e-11	5.66440917022314e-10	2.92208941274393e-10	1.71456198308657e-10	3.1413075124853e-10	1.71474225510638e-10	1.1555198237106e-10	9.04025089220559e-10	2.52129728370715e-11	2.69514685498583e-10	2.474615966757e-10	1.87255148238576e-09	6.36869865552092e-11	2.93855745061822e-10	8.14959133763728e-10	7.12924449235656e-10	4.79434296189873e-10	1.790617293538e-10	2.98436665493946e-11	9.4542701351352e-10	1.03377237954771e-10	3.3955782398179e-11	3.93389386557214e-10	1.43400332782569e-09	-2.4727460362255e-10	7.02411138626058e-10	2.6104008383515e-11	3.62603716066856e-10	5.80823392934029e-11	3.30636193784375e-10	6.36141531093063e-11
GWD	8.43102547771235e-11	7.09504434928735e-10	1.32650312698212e-10	6.38176034185548e-10	-8.17412411635421e-11	2.65980970757297e-10	2.13084728886485e-09	1.55941165888681e-11	2.35407603457971e-10	7.35249689624573e-10	1.35864856153968e-09	4.99918319523295e-11	1.22151960212203e-09	8.10559564001765e-10	1.07805177687331e-09	-9.53747285693321e-12	3.03637834126654e-10	5.79843614836565e-11	6.78106178222569e-10	6.60484756174396e-11	5.51874182151548e-11	2.76056093594629e-11	1.04628911035182e-09	1.54877697454238e-10	3.2542981162936e-10	4.34661324309722e-11	2.40985086182679e-10	1.10559846812017e-10	1.16823466942923e-09	3.47946365226622e-10	6.53489483602332e-10	5.8790611165962e-10	9.60037123073486e-10	1.66348696956019e-09	1.56696820581589e-10	1.56523383753191e-11	5.2788876122822e-10	1.9219288355829e-10	1.66145527563283e-10	3.74168973102839e-10	1.09845405330774e-10	8.4617322908263e-11	5.51553679361882e-10	1.72614776522698e-11	2.60571634254454e-10	2.33516360385904e-10	1.7785682417031e-09	8.19264003328346e-11	2.96101371700628e-10	1.27739495797605e-09	5.96319360128212e-10	2.32637557393295e-10	1.94277222992206e-10	2.60777963448822e-11	7.89308143085308e-10	1.84349549843596e-10	3.4119697204881e-11	3.87649587765458e-10	1.40523658936978e-09	-1.98358814220607e-10	4.72656097484429e-10	2.6280835031453e-11	2.68191296556742e-10	5.83420464867236e-11	3.35815425302577e-10	4.9824213312512e-11
LWK	9.55753837188325e-11	6.90396564390122e-10	2.36409012405377e-10	8.42789386257802e-10	-9.49457796011923e-11	2.70291314102219e-10	2.31177513962856e-09	3.51974887889221e-11	1.98948316230734e-10	6.78317485859816e-10	1.11933645264469e-09	4.21672268828628e-11	1.75474085662432e-09	9.52623459807569e-10	8.65981373116403e-10	-4.65123582728504e-11	3.07738677724736e-10	7.13717393778256e-11	7.34423009992899e-10	9.64756216468491e-11	-2.16677992974617e-11	3.07164480591442e-11	1.44630187457486e-09	1.73922233293908e-10	1.74033772229099e-10	8.37022983185362e-11	1.57327565664535e-10	6.89619193740027e-11	1.33179705103602e-09	3.1509002375741e-10	1.03827237046581e-09	6.17111835970429e-10	9.0111696073995e-10	1.89574474893734e-09	1.34833066489484e-10	1.80545473761145e-11	1.07164895800766e-09	2.84944535631593e-10	1.48026012837851e-10	2.83225248713548e-10	1.70228051632735e-10	9.29435507625015e-11	6.95386907114881e-10	1.56905238967285e-11	2.39028501356962e-10	1.47609391821565e-10	1.82478824217914e-09	8.9833462458816e-11	3.38289959381653e-10	4.56664673164407e-10	5.08940890353676e-10	2.04713387228043e-10	1.3333946566766e-10	2.8376415795059e-11	6.61010212327571e-10	9.58317052882136e-11	3.96529987130794e-11	4.0659902317887e-10	1.51901385753863e-09	-2.47416342307635e-10	4.38415312426001e-10	2.5131047686252e-11	2.67482394851693e-10	4.20437895047812e-11	3.10990613330245e-10	5.19245711746717e-11
MSL	8.27302091394649e-11	8.01246514294115e-10	1.34337623819952e-10	5.13758447275434e-10	-8.22465727171053e-11	2.33056755746238e-10	1.97511745299551e-09	3.65160322383195e-12	2.65352613693554e-10	6.61456504902358e-10	1.07120148596722e-09	3.91497293249497e-11	1.41120272255416e-09	6.87734718033128e-10	8.89195205093012e-10	3.91587772447905e-12	2.52998420862866e-10	5.44118137503567e-11	4.63359140863247e-10	6.53261497497576e-11	5.58622858220409e-11	1.92351424193016e-11	1.11209159349631e-09	1.67106633700751e-10	2.20749470872573e-10	2.79396074302909e-11	2.46184107457878e-10	8.78491573295031e-11	1.0814617914704e-09	3.52107049724436e-10	7.01008917324046e-10	5.34120426354547e-10	8.83653497973351e-10	1.24955473915131e-09	1.57670810133415e-10	1.09266866673944e-11	4.89878874820393e-10	1.61581775223818e-10	1.42384869770002e-10	3.43302961712519e-10	9.60939403708715e-11	1.05762690069662e-10	5.75405122587225e-10	1.09318647959133e-11	1.84981150402935e-10	1.92746985284723e-10	1.492486556354e-09	6.31003266069419e-11	2.39578699933693e-10	3.97405712338163e-10	5.72364188902658e-10	2.63742611935335e-10	1.19151867407763e-10	2.47308956241621e-11	9.11094210587802e-10	7.43892341688361e-11	5.13059581394727e-11	3.77976220048672e-10	1.10414467314953e-09	-1.6683690984808e-10	4.67922630934247e-10	2.58007261452749e-11	2.64225794420093e-10	5.13130569868352e-11	2.68820033140994e-10	3.49014514789579e-11
YRI	1.07460757812552e-10	1.26087854176417e-09	1.79011397795358e-10	5.48944107101909e-10	-8.13240459105052e-11	1.8234870236354e-10	3.33610337296777e-09	4.81649126270623e-11	3.29752093715771e-10	1.82129277273219e-09	1.10731328626301e-09	3.51465073024557e-11	2.12339033114514e-09	7.34447635993634e-10	1.23095062760921e-09	-4.65611440720231e-11	2.58537509708333e-10	7.58196018596542e-11	4.09131188099856e-10	7.57028014510736e-11	5.24954894245633e-11	2.47100311788738e-11	1.28939640102333e-09	1.96574558640293e-10	1.02529807965228e-10	7.52555608326408e-11	1.87035452836679e-10	1.2322672886017e-10	1.10934921003012e-09	4.20251490731056e-10	7.0072560267096e-10	7.27609412660043e-10	7.29878361219927e-10	1.53809012191505e-09	2.11325705913878e-10	1.08743667183155e-11	7.31974318987367e-10	1.76681543929723e-10	2.08138832835554e-10	4.27486909956042e-10	1.04114373951262e-10	1.25500616793525e-10	8.40760458265964e-10	1.22209069222032e-11	2.36406196743208e-10	2.61496940845205e-10	1.60103535261068e-09	8.31884667779745e-11	2.86132486819428e-10	3.77883467338676e-10	7.80190105296541e-10	4.90841714207099e-10	1.22226242186561e-10	3.14146323891974e-11	1.02690132709666e-09	4.45309188530509e-11	6.78155367955455e-11	5.37434485051492e-10	9.94812650579133e-10	-2.11457612375574e-10	8.38997492833167e-10	3.02590866824179e-11	2.69586359596183e-10	6.38615081727170e-11	2.65654937034985e-10	4.87073215315818e-11
CLM	9.29236511243069e-10	1.92756351507092e-09	1.05556602541195e-09	4.28310435407586e-09	1.86349283415909e-10	6.55986083178354e-10	0.00300920139155148	9.24555732195047e-10	2.47090915954332e-09	1.9221533318885e-09	3.54259552726845e-09	3.99340479652408e-10	0.00251999907043999	2.09718821770028e-09	4.95515865387049e-09	1.58399415704384e-10	1.97089097561147e-09	1.38760221907016e-10	3.27343830164179e-09	4.6151924578448e-10	8.84794408937752e-10	1.09744526302586e-10	0.0179912791284787	3.55237642555033e-10	9.47981946274912e-10	6.69284249390549e-10	2.50870039625456e-10	1.61631513070866e-09	3.50345777327675e-09	1.23575388358281e-09	3.03619923017995e-09	7.31186686738522e-09	1.89707141605938e-09	0.000188584567665159	2.3605189830139e-09	2.26014523389941e-10	3.55731992512318e-09	3.38608867869224e-10	1.43424831438184e-09	1.48855123355755e-09	4.54746585755204e-10	6.6399879259941e-10	3.86352508319676e-09	6.54771990355244e-11	5.40798910187698e-10	8.81020955959165e-10	4.13516731796641e-09	2.33144571560861e-10	1.00231297415863e-09	1.92665630505149e-09	2.83251290075567e-09	2.85919740820127e-09	4.33588319216082e-10	2.51388805175812e-10	3.19534807927441e-09	1.8441324620391e-09	1.61836076926104e-10	6.01269026686961e-10	2.21647116248698e-09	-1.72507114627342e-10	1.90360438506179e-09	4.49558136635613e-10	9.63894712451887e-10	1.98614528136528e-09	1.93121091634545e-09	5.7111686237977e-10
MXL	3.71519451915697e-09	2.28508987701072e-09	3.5146907755726e-10	4.831138194295e-09	6.56056475278117e-11	1.24644435544743e-09	8.26290286296813e-09	3.75241727328175e-10	4.45385660236995e-09	2.57161511093212e-09	9.96491931499194e-09	9.55114148773845e-10	6.38324782243964e-09	5.57737742313422e-09	5.52059337160024e-09	8.03075332161783e-12	3.08139447119975e-09	8.37802218415282e-11	3.82562039661346e-09	4.14486181865948e-10	9.76810242075419e-10	1.13237432803762e-10	3.86864638702756e-09	3.84134646812129e-10	1.61540931679073e-09	4.18684004430412e-10	5.16159263064003e-10	7.1422830402586e-09	4.00735641014867e-09	8.0738394094818e-10	2.94080744631231e-09	0.000515024564276607	2.40550740077422e-09	1.99110562186972e-08	8.96379242383834e-10	1.38666183105961e-10	3.92021999969251e-09	4.90138675140595e-10	7.01552837348766e-10	1.13658888561609e-09	9.41185592685539e-10	4.95467472549145e-10	2.642003926783e-08	8.98183847142276e-11	3.72720396200075e-10	8.27361827344121e-10	2.36012807671234e-09	7.0861994496567e-11	2.10938854130816e-10	1.76500731837667e-09	2.20029108250402e-08	1.15610966770951e-08	1.09050006729808e-09	1.2657618580681e-10	2.5027392211419e-09	1.50592763954585e-09	1.36506174246291e-10	3.37456779930011e-10	1.83176187652066e-09	-1.50802177330603e-10	3.26193591724516e-09	5.65078738081342e-10	9.74359958076849e-10	2.02550746273398e-10	2.52758195738113e-09	9.67484968512976e-10
PEL	4.54271428315614e-09	7.23480481209627e-10	2.62186792176945e-10	2.44226916602459e-07	-7.98322906393568e-11	0.0163944430761694	1.0042452201866e-08	3.55566532171372e-10	5.2935737545385e-08	1.67494815567168e-09	0.0271169935697846	0.0113648451986861	7.04318291825564e-09	1.39397387639062e-08	1.7826210909072e-08	-6.1675796607693e-11	0.00035290310409312	3.56094774539543e-11	1.49752812024194e-08	7.5821826724668e-10	4.21100763079374e-09	6.08920940019679e-11	3.32685323923032e-09	4.12754917571995e-10	0.00628744724288599	1.83043106480497e-10	4.2099976084889e-09	0.00345418789088015	3.38900171720164e-09	9.13291262585668e-10	3.30914260695938e-09	8.58279715271664e-09	1.99335868191234e-09	1.74585681508269e-08	2.1143448766702e-09	7.75310931808194e-11	0.000941352267120118	9.59039835904895e-10	3.90174249342458e-10	1.08867889852805e-09	1.82515951891226e-09	3.19400519657833e-10	1.0651139431856e-08	8.39862682528022e-11	4.01545700878498e-10	0.00629052805359923	2.24595348310036e-09	4.23942548965029e-11	1.01991113906898e-10	1.0843211716848e-09	3.96673813763234e-09	0.0271868546106334	0.00598927699752667	6.37173799585095e-11	1.92365497762471e-09	2.42109015354135e-09	5.61335913069797e-11	1.45205954722417e-10	2.18849586548897e-09	1.31263705377037e-10	0.0107430962353717	3.16943047070428e-10	8.74269496201037e-10	0.00885440160785288	0.00668896891938843	0.00382218655331356
PUR	7.14803861510825e-10	2.93031740804886e-09	1.34923605841274e-09	1.02181887205335e-08	-4.38529784804651e-11	2.49938843353473e-09	4.61528621646275e-08	4.8075511629509e-10	1.79283207428742e-09	1.80405753132796e-09	3.71109260523239e-08	1.0207197450843e-09	3.36645910111567e-08	1.07266278219069e-08	4.45514218466118e-09	7.29129550394862e-10	5.51838635122645e-09	1.43645923253845e-10	4.46197040696305e-09	0.00508490644625028	4.30551838013726e-10	3.1262939474214e-10	1.1392822313878e-08	5.03749304560873e-10	2.76223768969048e-09	6.92978401618102e-10	0.0063377338943246	8.57128253140327e-10	0.00675120718858079	1.12015628549743e-09	4.57142452412313e-09	5.58656400799996e-09	4.37063386214112e-09	2.78376862801208e-08	5.80835905714891e-10	3.35796257600672e-10	6.06228339183955e-09	0.0145830673144062	1.26593266324178e-09	1.91032563737508e-09	3.4320735026747e-09	6.41956238183536e-10	3.44560030685874e-09	1.46285068964411e-10	8.46667033877221e-10	6.68652754203624e-10	1.47219630526533e-08	1.54244189899454e-10	1.04529217184943e-09	3.09603018279335e-09	2.86203465362057e-09	1.87221333544273e-09	9.65963706348014e-10	6.11190570501457e-10	4.52020907577068e-09	3.01477380456967e-09	1.58059260592072e-10	1.64498862963505e-09	2.63427164060999e-08	-2.91955991613126e-10	1.84474352036819e-09	3.06431248138909e-10	6.37366127532905e-09	1.29489468516961e-10	3.0363075140973e-09	7.59423644897787e-10
CDX	0.556723962209029	1.00234224322814e-09	2.1802159306091e-10	1.42794053982121e-09	1.56100881593961e-10	1.96822249625122e-10	1.14523880250932e-09	2.16873516967182e-10	0.387140052868317	2.08087525109367e-09	1.27814470876711e-09	1.74463445348341e-10	5.65208368860294e-10	2.39636031716533e-09	0.387158018630404	-8.49766340800531e-11	1.1537348234754e-09	5.54553658611087e-11	2.68936008152419e-09	1.85387417798482e-10	0.535178158902156	6.51624032425078e-11	5.64654772350198e-10	0.423031531898628	5.26821104713322e-10	1.6261755981788e-10	1.14291743388273e-10	0.566799341744649	8.42293691287848e-10	0.405099374324086	1.43455324570075e-09	9.27822565331333e-09	1.30642532687247e-09	1.19976707479551e-09	0.501103804829118	1.79592265965734e-10	0.460026972077788	1.82413129219895e-10	1.72004578008262e-09	0.231812120580845	2.05929530197113e-10	3.9486622812827e-10	0.0939366209605717	7.83977386354646e-11	4.39374800718543e-10	0.425100047833446	1.26530085307923e-09	1.25905111314719e-10	3.62196192148004e-10	1.10292740333281e-09	0.587264668750846	0.488554553344207	2.85715670932835e-10	1.70276990541632e-11	1.33275108691103e-09	5.33463308378983e-10	6.55739998844587e-11	5.13497566621938e-10	9.59006365553445e-10	-5.03077664838304e-11	0.366122107937485	1.53420633231082e-10	2.07444783351646e-10	0.434766541646152	9.71866429077864e-10	7.03652956988957e-10
