adipose_omentum_SM-ADYHB	adipose_omentum_SM-CHZRM	adipose_omentum_SM-CSSD4	adipose_omentum_SM-IOBHJ	adrenal_gland_SM-A8WNO	artery_aorta_SM-C1MLC	artery_aorta_SM-C1PX3	artery_aorta_SM-CR89M	artery_aorta_SM-JF1NU	artery_tibial_SM-CHLWW	artery_tibial_SM-IOBHK	colon_sigmoid_SM-AZPYO	colon_sigmoid_SM-JF1O8	colon_transverse_SM-A9HOW	colon_transverse_SM-A9VP4	colon_transverse_SM-ACCQ1	colon_transverse_SM-BZ2ZS	colon_transverse_SM-CSSDA	esophagus_ge_junction_SM-IOERG	esophagus_mucosa_SM-A9HOR	esophagus_mucosa_SM-A9VPA	esophagus_mucosa_SM-AZPYJ	esophagus_muscularis_SM-A8CPH	esophagus_muscularis_SM-CSSCV	esophagus_muscularis_SM-IOBHM	esophagus_muscularis_SM-IQYD1	heart_atrial_appendage_SM-IOBHN	heart_atrial_appendage_SM-JF1NX	heart_lv_SM-IOBHO	heart_lv_SM-JF1NY	liver_SM-A8WNZ	lung_SM-A62E9	lung_SM-A8WNH	lung_SM-ACCPU	lung_SM-JF1NZ	mammary_tissue_SM-IOBHL	mammary_tissue_SM-JF1NV	muscle_SM-ADA6L	muscle_SM-C1MKW	muscle_SM-C1PWV	muscle_SM-IOBHP	nerve_tibial_SM-CHLWU	nerve_tibial_SM-CP2V6	nerve_tibial_SM-IOBHQ	ovary_SM-IOBHR	pancreas_SM-ADRUQ	pancreas_SM-IOBHS	pancreas_SM-JF1NS	pancreas_SM-JF1O6	skin_SM-IOBHT	skin_SM-JF1O1	skin_sun_exposed_SM-ADYHK	skin_sun_exposed_SM-IOBHU	skin_sun_exposed_SM-IQYCP	skin_sun_exposed_SM-JF1NT	small_intestine_SM-A62GO	small_intestine_SM-ADA5F	stomach_SM-CHLWL	stomach_SM-IOBHV	stomach_SM-JF1NP	stomach_SM-JF1O3	thyroid_SM-C1MKY	thyroid_SM-IOBHW	thyroid_SM-JF1O4	uterus_SM-IOBHX	vagina_SM-A9HOS
CHB	5.35293311687511e-09	8.50098045057226e-10	2.5119674305948e-10	2.08172605790087e-09	3.25850963088282e-10	3.22027320837513e-10	1.29655669082997e-09	9.71737494965175e-11	6.86009350639914e-09	7.3917851996011e-10	1.73013192623027e-09	2.44633299515155e-10	8.05465277223532e-10	4.5082699029737e-09	4.48730173855945e-08	9.16440758916153e-11	1.25656208167175e-09	3.85260719994603e-11	2.52515758552254e-09	2.19156063130031e-10	4.03113574100988e-09	2.70056694793382e-11	7.32894249480903e-10	2.6391968344276e-09	8.9147129094329e-10	-7.20448120461595e-13	1.77621062668394e-10	3.23364542121817e-09	5.66167870782816e-10	5.97669054789015e-09	2.77218957309484e-09	2.88199072017638e-09	1.97297303772477e-09	2.67658291191262e-09	4.04075739144715e-09	1.27196660223182e-10	1.46546442406365e-08	2.54809590982409e-10	7.95474401851941e-10	5.32846016490717e-09	2.82049932469946e-10	2.89396496253298e-10	7.69552923698356e-08	1.03726630276237e-10	6.16791564982173e-10	1.11702837834519e-08	9.56263384667807e-10	4.15302887420084e-11	3.61355115426613e-10	1.47921324590488e-09	1.56620804281019e-08	1.80685197966062e-08	3.60426980678856e-10	2.95537338773153e-11	1.01798674083455e-09	1.00201894316543e-09	1.61618788623063e-11	2.85494823579927e-10	8.80621715784063e-10	5.4744886006854e-11	1.12495675499432e-08	1.35380811587412e-10	1.98278781335873e-10	4.71444409119512e-10	1.38815499329712e-09	1.03798477026558e-09
CHS	0.252255265568184	1.06135233573445e-09	3.13495055703021e-10	8.28326180258377e-10	-3.60611889114137e-11	2.29696061823829e-10	1.47565924547201e-09	1.84644355963771e-10	0.198426432211972	1.85470988423418e-09	1.06777851424275e-09	1.16110568007337e-10	8.46482471534788e-10	2.33403369018542e-09	0.233593709891422	2.50638084080687e-10	9.12360204559438e-10	5.24300030871383e-11	1.42988609110263e-09	1.47736627355849e-10	0.245166269103289	4.85154384870101e-11	7.44755398310255e-10	0.246396992387949	4.79438083995267e-10	8.72966023579833e-11	1.22691062360984e-10	0.144413842297792	5.30171009884676e-10	0.200100085810488	1.40289202988232e-09	3.75880539236619e-09	1.24207320153624e-09	2.27221915811802e-09	0.199045652361501	9.69098880381709e-11	0.253374297666882	1.47236669523237e-10	3.03825057265439e-09	0.314665692463955	1.86943358241877e-10	3.4749662422037e-10	0.206811183581708	7.28999293412423e-11	4.15574324581548e-10	0.241891424716052	7.93106066701397e-10	5.89310597982234e-11	3.21941421839384e-10	8.9579516202804e-10	0.115573166943208	0.178549816029878	2.63589755559952e-10	2.80372252224831e-11	1.20079191043142e-09	3.63863090103088e-10	6.17161125189539e-11	4.12883276285126e-10	7.29619204654368e-10	2.33078589757039e-10	0.00209235914997287	2.16493675113691e-10	1.68869139824584e-10	0.254018550794644	8.72732157988146e-10	6.75832536221554e-10
JPT	0.117841007112675	6.56459497332892e-10	1.96694453409371e-10	1.09604011300057e-09	-7.47381615492056e-12	2.02400739522199e-10	1.56000204173724e-09	7.25985602033526e-11	0.0581068703202417	5.02007473369929e-10	1.05961403358106e-09	1.32003406640129e-10	8.2420126102203e-10	1.93168687704947e-09	0.143461173953981	-2.78883510437815e-11	6.79010963338361e-10	3.12908488169374e-11	1.21484765608099e-09	1.18159971396842e-10	0.120231497757087	2.41520253950731e-11	7.40974199318252e-10	0.0844488023085892	5.91642675106709e-10	1.58482761850603e-11	1.4597232692371e-10	0.156663884882805	4.23270655209708e-10	0.0122062426700115	1.47396034785771e-09	1.88729366040826e-09	1.17809643861201e-09	2.01668058367607e-09	0.107949014931274	1.44892934662416e-11	0.0777077731421962	1.66298935562454e-10	4.03461071538392e-10	0.0172330357523881	1.54717800691824e-10	1.60812641914626e-10	0.244233631135354	6.26782943095287e-11	3.41101781302486e-10	0.0268510396779984	7.08486175882298e-10	2.59029746881839e-11	2.64154483453712e-10	9.71636595897621e-10	0.18987784716597	0.199856676466925	2.66176573720106e-10	3.21642312259696e-11	8.83424333192874e-10	5.35901957780144e-10	-1.29155789953578e-11	1.714517701544e-10	2.67275909788752e-10	-4.34073199898912e-11	0.228793312501381	8.57819049900683e-11	8.21159782996089e-11	0.0444111750285848	8.54890094161552e-10	3.42108122911142e-10
KHV	0.0317695520599274	1.48550821056814e-09	2.74106440192449e-10	1.02332078894963e-09	-8.54755027081507e-11	2.00976726289833e-10	1.08473881106638e-09	2.31043846831292e-10	0.280149581439706	2.61540893116673e-09	1.13098255444941e-09	1.10689252378982e-10	6.17076753603684e-10	2.27049086141688e-09	0.168984497813473	6.41362793595572e-11	7.9676406292618e-10	7.04524975546551e-11	1.61740760555104e-09	1.55467605026684e-10	0.0371403603222577	6.82801809283694e-11	5.74418828177902e-10	0.189340787533438	4.41515886797128e-10	1.62470098874921e-10	8.84526944912519e-11	0.0528790600089473	4.82115032176764e-10	0.313934403086516	7.34496688202737e-10	8.13496211614349e-09	1.59481770482913e-09	1.63289194678359e-09	0.11500316922212	1.37823733648305e-10	0.144152359243614	1.6576304316391e-10	2.22324488123052e-09	0.389371852157919	1.83633629547076e-10	5.91266805332138e-10	0.455018368758171	6.59417098101204e-11	3.2341601078386e-10	0.240315081409598	1.09552663197236e-09	1.469209477973e-10	3.60564444253134e-10	9.17845292440482e-10	0.0791933840051671	0.0971455575281379	2.344567494118e-10	2.20622321066791e-11	1.41709962661568e-09	5.39418991220855e-10	7.47922072418478e-11	6.4085290887383e-10	7.80643487396324e-10	-6.5577642616289e-11	0.364710796966066	2.50737747744096e-10	1.74184786206636e-10	0.175239086372882	6.92211661377282e-10	4.35907252884767e-10
CEU	3.01933504161058e-09	0.198847900796359	0.226286992015847	0.101385772176852	0.14389104295736	0.0171008675533508	0.336919093028733	0.155268868621406	1.12052439551181e-07	0.225790809566002	0.157175300000752	0.119936296801857	0.235587190346408	0.133736649941707	1.63257204212046e-08	0.361340671425977	0.0715762419651275	5.84559280626698e-09	0.080504304987962	0.104687029021971	2.27220648962331e-09	0.0935829513418246	0.213385730632767	2.49183196067184e-09	0.0297279932113587	0.143313492097407	0.0600386694926155	9.65410143652567e-09	0.103804535959195	2.01373393432993e-08	0.0970345908868851	8.08089519264282e-08	0.083144298461004	0.418264201524542	1.68762816659177e-09	0.137893643364172	1.63589040366907e-08	0.0815543621083738	0.323879652575159	8.50497108962648e-09	0.075469028121417	6.37124198845038e-07	2.76057980521037e-09	0.0518045852900581	0.187559745380282	1.11283694731441e-08	3.75008604486166e-07	2.9035955699207e-09	0.374739563830277	0.0939825189248676	4.66219506156468e-09	7.52211368488702e-09	0.186662867253231	0.288015877492005	0.0432806159153634	0.0894273113197725	1.69888303807856e-08	0.23287365208565	0.0276101859131151	0.534474622631959	3.79957006948495e-09	0.00057584561524566	0.0444016529516875	4.74249154751697e-10	0.139858131149469	0.215451582102488
FIN	2.15502386668267e-09	3.70395134033145e-06	0.126902544540813	1.63988814948302e-08	1.52029425338531e-09	1.11849940366843e-09	0.0941516578499164	1.25602531587602e-09	1.35656952709414e-08	3.54427100412394e-08	6.42352563786509e-09	2.38708855996074e-09	0.129603801989469	1.23433967740301e-07	0.0233346616442215	0.21981217714851	0.0162584382389288	6.84288389341594e-10	2.78514840419612e-08	0.0120344960337478	0.0341324501637419	8.89996664354191e-10	0.11320506132574	0.0183489273656355	6.16728817792529e-08	2.33517770476884e-08	0.00574540799318813	0.00579858645479562	0.0279334871048117	1.03745730368571e-08	0.0440411006319857	3.81179821951891e-08	0.000122675815859331	0.10600456958979	1.3212193855848e-09	1.86732302060956e-09	0.00504698584280608	0.0833509083264801	0.00197319494643238	3.43118278202152e-09	0.077246293730685	2.09920469512814e-09	1.10848939944111e-09	0.00380608766051881	1.97068674833519e-09	3.65274263598473e-08	3.71745071795636e-09	3.03645283815882e-10	0.106268336752703	5.04243104838865e-09	2.79954735603481e-09	0.00710000826675825	1.4228866217274e-08	0.15924185266135	8.87154709179519e-09	0.00776953832956842	2.20505992942318e-09	1.38518720722331e-08	1.95973815602588e-08	0.215064696105293	1.38572802573021e-08	2.09499935240003e-09	0.0392297937243638	2.98824698865775e-10	1.02106054752935e-07	9.10550211744442e-09
GBR	2.72289035013846e-09	0.535609733196562	0.201440237606809	0.0895225232342165	4.62588116139716e-09	0.0777620299505614	0.110163447826344	0.3804643574052	0.0079440429286563	0.476137145211076	3.74474694349681e-08	1.34240952282997e-08	0.294234325448052	3.74194527976281e-08	2.44928699190408e-08	0.159923646087198	1.47499696044838e-07	0.509954690622972	0.0166556281282524	0.00129025739539547	2.18759985507449e-09	0.350905619523764	0.192315611863105	4.2332131292821e-09	0.137737703002313	0.362680170060383	1.31002349206392e-08	3.49454308501755e-08	0.0167306006546276	9.32996977444882e-08	1.13373028927441e-06	0.565388268818304	0.130250250286788	0.170411581488543	1.71433080658328e-09	4.51368732805827e-09	2.88745441013006e-08	0.0398736427516347	0.186296947023252	0.0290645967559186	0.0360614767177729	0.632009554132603	2.81454021455167e-09	2.07430226089605e-09	0.00819743494757119	7.02495105297758e-09	0.137962427615061	0.489154624218186	0.0797184408403208	1.5563434931968e-08	4.47099035336419e-09	8.38482852550395e-09	1.44478602148013e-09	0.258400492745746	0.487365017482347	1.92866192758033e-07	0.452548110467098	0.228255041309501	0.125671561602324	2.25570389846222e-08	3.98026045577126e-09	0.46962776257107	0.0418533228953629	0.0137183866328144	4.54707533005571e-08	2.24935966302792e-08
IBS	3.08279178107578e-09	5.62364798737396e-08	0.173339681500331	1.02122585469989e-08	1.14054369950439e-09	6.7971827158069e-08	0.111360951119912	0.0847947740651073	6.92256454919233e-09	1.14346170813324e-08	1.29484184876816e-08	1.22996868070312e-09	0.0258506153584559	9.64500143895605e-09	2.38995730203913e-08	7.70400382914287e-09	3.18388281922945e-09	0.145527558074336	7.58360714153675e-09	2.21121965290364e-09	1.46121719589957e-09	0.150544927073138	0.159392008913623	1.8337656280622e-09	2.11526819060602e-09	0.091788491722751	4.43607851146188e-10	0.0150496968120025	1.46453340708141e-08	6.94654363355615e-09	7.91884621085082e-09	0.0166366619619945	3.96158196080511e-09	3.42028462973362e-08	2.10742326686103e-09	3.68762165199652e-09	1.87763821690856e-08	2.70345769446419e-09	0.138897519677099	6.7679852309554e-09	2.21286981367735e-09	5.96390587205941e-09	2.3951920452755e-09	3.71299598634265e-10	3.58234861415215e-09	5.46905542001774e-09	2.57709633053179e-08	0.119045154338136	0.0805686533524405	6.78876520316286e-09	3.05147647863046e-09	5.44191853677274e-09	5.90382477216102e-10	1.97757853114051e-09	0.0574705183531647	4.02429187163668e-09	0.166337841080355	0.142580835638601	6.90673320304557e-09	2.86941678313626e-09	6.50935059533372e-09	0.154504187057079	5.80212136844072e-09	2.36454041888345e-09	7.23153090239244e-09	1.22255329559959e-09
TSI	1.91575747949545e-09	0.265538572325225	0.269404469288673	0.0543093225013015	0.121340972335316	0.13131814663772	0.329914124967314	0.379471993513491	5.0852084520526e-09	0.282560813736674	0.055806158863828	0.0929873612465	0.312203994461112	0.0639733650523481	1.48119532824953e-08	0.258923496308451	0.136275428515793	0.340839493092353	0.116548732493099	0.125479133714473	1.94089347313147e-09	0.383600017670489	0.30371026545922	2.55591530435328e-09	0.0611910664959026	0.402217816117227	0.123135366996379	2.88410802585998e-09	0.0714002728114272	3.61318288809394e-09	0.128883813451896	0.417459844937479	0.051956829276068	0.305130831382727	1.17401670854406e-09	0.086499619974132	1.76452732218471e-08	0.0573397159399562	0.336019838554387	3.14712680412529e-09	0.0528118981959151	0.367989790994785	3.81877863361135e-09	0.155492884565428	0.044985250872086	1.53413135399078e-09	0.0564420199436924	0.346381123641958	0.357426898580076	0.147113307209612	3.19093211017738e-09	3.92803930237563e-09	0.0180545282221516	0.294341772933119	0.381788486529496	0.138918840659847	0.381114026971304	0.374323399246333	0.0634012191534863	0.250460658935505	2.64467997044114e-09	0.365314007547241	0.130925455212226	3.3228214937562e-10	0.0724530794747694	0.0114253276847423
BEB	1.1174302090661e-09	2.33818138192085e-09	7.27433278819748e-10	0.241979314052837	0.0895719282145481	0.080248885050621	3.22623010875873e-09	1.95640944669611e-10	1.15474046499811e-08	5.02236519443512e-09	0.0742059946160425	0.0835672385712884	1.20853878138133e-09	0.122526797556311	7.11997459437707e-09	-1.41334956261584e-11	0.122343731947069	1.53894012143965e-10	0.152890587766917	0.13262139373266	1.9259823898429e-09	8.52238481907094e-11	1.16419700870389e-09	1.72610915830817e-09	0.0531073207215423	1.78075105784447e-10	0.133901200803375	1.15352379328087e-09	0.16050406671009	2.19862924559569e-09	0.170641339282485	6.23753447814109e-09	0.0708176912926921	9.58474916718708e-09	2.42591791965791e-09	0.120437095764648	3.98846515331663e-09	0.0529515077849888	7.57685850620322e-10	2.521555963899e-09	0.0765763801167432	6.41772694918947e-10	2.73023683034965e-09	0.131044127365658	0.128568885519114	8.86534630633365e-10	0.0884226228349513	4.27790936220856e-10	1.09374752220632e-09	0.152431466115619	7.36481600090769e-09	4.20653024709003e-09	0.101030814764845	1.11138712149936e-10	5.22167661196079e-09	0.131139399176067	1.43315002935251e-10	1.24578510919747e-09	0.141615968861446	-1.37542136245859e-10	1.81106143433447e-09	2.47287578425348e-10	0.160542039118863	3.77197389490872e-10	0.0830504764239955	0.167828136643881
GIH	3.21200202971231e-09	5.76501226997335e-09	0.00262606612966256	0.12349370717383	0.0889327484865873	0.14406418286682	0.0144814123690992	1.02529657213193e-09	9.62469223233427e-09	0.0155111400023545	0.126280430001667	0.181373817031329	4.33429843777723e-09	0.207634267471749	8.52427830764133e-09	4.19719289189233e-10	0.122618427849105	0.00367824992187314	0.201531117922526	0.189816499079197	1.76617951423232e-08	0.0213664820439964	5.13207843652835e-09	1.04977082095158e-09	0.202487844699235	2.84788077264893e-09	0.139477250740126	1.39150002929451e-09	0.114238324414232	2.00332850169286e-09	0.076128298216272	1.20463605198162e-08	0.135791294768489	3.36906889142145e-08	3.32272253386816e-09	0.166327814820479	4.15167163816906e-09	0.0705176003039764	0.0129328312195905	1.95724177141964e-09	0.131947950852976	2.52690863731882e-09	2.94650688335424e-09	0.131412437065987	0.168976938604417	8.41662878499258e-10	0.0807120715550066	0.0454190897852311	0.00127809022508112	3.6411265674305e-07	9.72613570448306e-09	5.7581823101709e-09	6.22846149691417e-09	3.2520968593548e-10	0.03009531038548	0.156954739853179	6.84855321299423e-10	0.0219670462869724	0.165013088409652	-3.52740496684833e-10	2.68636415696023e-09	0.0099781913646973	0.138683019483403	2.76254421109676e-10	0.0921532581449317	0.0195252213229846
ITU	2.30534970603041e-09	1.17566468087985e-09	8.77400299222385e-10	0.0984338378164541	0.233701666151161	0.127477708120357	4.00756259803536e-09	1.77628979260567e-10	2.30608880126804e-08	4.02024528446804e-09	0.115280958201259	0.206339773350359	1.113976573075e-09	0.0898436768505173	8.81462428476505e-09	-6.17517698732022e-12	0.169048318098166	1.61885821208826e-10	0.111062290536241	0.127658503100034	0.00260580579540977	1.01004314451411e-10	1.3162449279279e-09	4.28510178753907e-09	0.173815477848371	2.23650782518216e-10	0.164477972241048	1.3581017568211e-09	0.137918096483742	1.35019190879895e-09	0.184137502289123	2.46574939183828e-09	0.222952921712398	3.27142877318874e-08	4.02936883025815e-09	0.163731969751574	8.49652353204018e-09	0.212228284485459	5.82488609664188e-10	2.12431130316579e-09	0.165146865857446	4.76180241646142e-10	1.60102702453061e-08	0.133960582709684	0.21275258620348	2.27919435082617e-09	0.195674272029786	4.83635041200656e-10	1.46688981191034e-09	0.219406514260923	1.57086396819948e-08	4.90376171752031e-09	0.234979626805009	1.17520802637944e-10	4.13037027783492e-09	0.117209529617071	1.25174421829646e-10	6.86578536912008e-10	0.160679605444767	-2.29272656410047e-10	3.13830852617321e-09	2.46824224142002e-10	0.115646095794786	0.00835884493523348	0.225398501281158	0.164828539281098
PJL	0.0414101756785491	3.02567742763945e-09	9.08617579430475e-10	0.290875172760339	0.322561633447166	0.368315041718289	3.83981691245171e-09	3.48911687313953e-10	0.0425488551247975	6.61421513978616e-09	0.329314735999381	0.30443064230733	1.18349393977682e-09	0.382284991844731	0.0434677430527099	1.26901555903278e-10	0.361526332531682	1.62947095228543e-10	0.320807243256947	0.301327763410939	0.0255454167805481	1.44285580854508e-10	1.55697309848214e-09	0.0384329334100369	0.335645068102937	3.56034654974195e-10	0.366886371082755	0.0549413337900743	0.36071936159812	0.0686597396805752	0.29913216190575	5.68331742926479e-09	0.304964005223673	1.59198802068829e-08	0.0768983276903679	0.32510984250734	0.0587501231731557	0.387600902722049	6.1250361346136e-10	0.017852657970147	0.384740091739815	7.66976165731909e-10	1.13270273039941e-08	0.392479281478765	0.248959142067252	0.0595517962955094	0.407941757974996	1.46345486654868e-09	1.52568107747519e-09	0.387065766026405	0.0280908252675159	0.00160645341448658	0.453282856964579	1.20902719780033e-10	4.56035549412605e-09	0.358580383492395	1.90389657290224e-10	7.32160732262609e-10	0.316007703720252	-1.76346130786803e-10	0.0275382637541063	3.36393833788712e-10	0.328718594676958	0.0606330053823606	0.380397400715126	0.417118963945002
STU	1.8403543950483e-09	1.68341627878416e-09	7.40799846921374e-10	4.91161227805265e-08	1.28101335083117e-09	0.0373186188275676	3.48885593153778e-09	2.1329340504563e-10	0.0256839126008886	5.41506646053196e-09	0.114819306991919	4.98084938146711e-09	1.11224911447742e-09	2.93321265146584e-08	5.36137740373106e-09	-1.24192310636989e-11	9.6182070079393e-09	1.62601361474244e-10	1.97321052736757e-08	1.27896065352529e-08	2.78598542965634e-09	9.24348318933366e-11	1.1796222047104e-09	1.31729564229077e-09	5.25995510561082e-09	2.21458717785772e-10	5.69492345725908e-09	1.0783232536816e-09	9.61942949244949e-09	1.5311371395602e-09	2.42166542652196e-08	2.28125912423551e-09	4.93368973434216e-09	1.82769282366268e-08	1.9147483287277e-09	2.30606553581317e-09	4.82678075071419e-09	1.16150787244913e-09	7.49902725039477e-10	2.05734824422813e-09	3.82141731087028e-09	5.48023454447922e-10	2.26052822046038e-08	1.05401627324962e-08	4.86263548023312e-09	1.08118581548013e-09	0.032844382945423	9.2614803194435e-10	6.0002840473065e-09	1.89890099376731e-08	4.72991732097424e-09	2.99906209101945e-09	1.62960130925189e-09	1.19129660851015e-10	3.7975763340037e-09	4.82979043491526e-08	9.1298798056967e-11	6.11800090253045e-10	5.95077011830441e-07	-1.98694432877788e-10	2.40360258606842e-09	2.32250631295742e-10	8.18215981307901e-09	2.45955125197978e-10	1.46072656697844e-08	3.83013697957124e-09
